row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp
he03_s1,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he08_s1,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he09_s1,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he19_s2,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he20_s2,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he22_s2,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he23_s2,,,,1,"power losses, quality and safety issues",NEU,human,NEU,,,,
he01_s1,,,,2,reduced reliability in DC devices,NEU,human,NEU,,,,
he17_s2,,,,2,reduced reliability in DC devices,NEU,human,NEU,,,,
he20_s2,,,,2,reduced reliability in DC devices,NEU,human,NEU,,,,
he21_s2,,,,2,reduced reliability in DC devices,NEU,human,NEU,,,,
he02_s1,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he06_s1,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he15_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he17_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he18_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he20_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he22_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he23_s2,,,,3,lack of use-cases in which DC is advantageous,NEU,human,NEU,,,,
he02_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he03_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he05_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he06_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he08_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he09_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he12_s1,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he15_s2,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he16_s2,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he20_s2,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",NEU,human,NEU,,,,
he02_s1,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he04_s1,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he08_s1,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he10_s1,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he14_s2,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he16_s2,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he18_s2,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he21_s2,,,,5,lack of pilot projects,NEU,human,NEU,,,,
he05_s1,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he07_s1,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he09_s1,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he11_s1,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he12_s1,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he13_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he17_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he18_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he19_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he21_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he23_s2,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,NEU,human,NEU,,,,
he10_s1,,,,7,incompatibility of DC systems components,NEU,human,NEU,,,,
he11_s1,,,,7,incompatibility of DC systems components,NEU,human,NEU,,,,
he14_s2,,,,7,incompatibility of DC systems components,NEU,human,NEU,,,,
he22_s2,,,,7,incompatibility of DC systems components,NEU,human,NEU,,,,
he02_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he03_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he04_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he05_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he07_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he11_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he12_s1,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he13_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he14_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he15_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he16_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he19_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he21_s2,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,NEU,human,NEU,,,,
he01_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he03_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he04_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he06_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he07_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he09_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he10_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he11_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he12_s1,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he13_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he14_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he15_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he16_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he17_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he18_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he19_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he23_s2,,,,9,lack of enough trained personnel in DC systems,NEU,human,NEU,,,,
he04_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he06_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he07_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he08_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he09_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he10_s1,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he13_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he14_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he15_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he16_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he18_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he19_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
he20_s2,,,,10,uncertain regulatory roadmap,NEU,human,NEU,,,,
