row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp
generalist_gemma312b_00_b1,gemma3-12b,generalist_gemma312b,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155
generalist_gemma312b_00_b2,gemma3-12b,generalist_gemma312b,generalist,2,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,FALSE,0,20250628_123155
generalist_gemma312b_00_b3,gemma3-12b,generalist_gemma312b,generalist,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,FALSE,0,20250628_123155
generalist_gemma312b_00_b4,gemma3-12b,generalist_gemma312b,generalist,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,FALSE,0,20250628_123155
generalist_gemma312b_00_b5,gemma3-12b,generalist_gemma312b,generalist,5,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,FALSE,0,20250628_123155
generalist2_gemma312b_00_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155
generalist2_gemma312b_00_b4,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,FALSE,0,20250628_123155
generalist2_gemma312b_00_b8,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,0,20250628_123155
generalist2_gemma312b_00_b9,gemma3-12b,generalist2_gemma312b,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,FALSE,0,20250628_123155
generalist2_gemma312b_00_b11,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,0,20250628_123155
normative_gemma312b_00_b1,gemma3-12b,normative_gemma312b,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155
normative_gemma312b_00_b4,gemma3-12b,normative_gemma312b,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,FALSE,0,20250628_123155
normative_gemma312b_00_b7,gemma3-12b,normative_gemma312b,normative,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,FALSE,0,20250628_123155
normative_gemma312b_00_b8,gemma3-12b,normative_gemma312b,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,0,20250628_123155
normative_gemma312b_00_b11,gemma3-12b,normative_gemma312b,normative,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,0,20250628_123155
normative2_gemma312b_00_b1,gemma3-12b,normative2_gemma312b,normative2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155
normative2_gemma312b_00_b4,gemma3-12b,normative2_gemma312b,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,FALSE,0,20250628_123155
normative2_gemma312b_00_b8,gemma3-12b,normative2_gemma312b,normative2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,0,20250628_123155
normative2_gemma312b_00_b9,gemma3-12b,normative2_gemma312b,normative2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,FALSE,0,20250628_123155
normative2_gemma312b_00_b11,gemma3-12b,normative2_gemma312b,normative2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,0,20250628_123155
subject_matter_gemma312b_00_b1,gemma3-12b,subject_matter_gemma312b,subject_matter,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155
subject_matter_gemma312b_00_b2,gemma3-12b,subject_matter_gemma312b,subject_matter,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,FALSE,0,20250628_123155
subject_matter_gemma312b_00_b3,gemma3-12b,subject_matter_gemma312b,subject_matter,3,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,FALSE,0,20250628_123155
subject_matter_gemma312b_00_b4,gemma3-12b,subject_matter_gemma312b,subject_matter,4,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,FALSE,0,20250628_123155
