row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,dict_barrier_id,original_barrier_id
generalist2_llamapro_00_b1,llama-pro,generalist2_llamapro,generalist2,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250630_232042,1.0,1
generalist2_llamapro_00_b2,llama-pro,generalist2_llamapro,generalist2,2.0,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,0,20250630_232042,2.0,2
generalist2_llamapro_00_b3,llama-pro,generalist2_llamapro,generalist2,3.0,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,0,20250630_232042,3.0,3
generalist2_llamapro_00_b4,llama-pro,generalist2_llamapro,generalist2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250630_232042,4.0,4
generalist2_llamapro_00_b5,llama-pro,generalist2_llamapro,generalist2,5.0,lack of pilot projects,lack of pilot projects,matched,correct_id,False,0,20250630_232042,5.0,5
generalist2_llamapro_00_b6,llama-pro,generalist2_llamapro,generalist2,6.0,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,0,20250630_232042,6.0,6
generalist2_llamapro_18_b1,llama-pro,generalist2_llamapro,generalist2,1.0,"power losses, quality and safety issues","Power losses, quality and safety issues",matched,correct_id,False,18,20250701_000359,1.0,1
generalist2_llamapro_18_b10,llama-pro,generalist2_llamapro,generalist2,11.0,high costs of DC solutions,High costs of DC solutions,matched,wrong_id_matchable,False,18,20250701_000359,11.0,10
generalist2_llamapro_18_b2,llama-pro,generalist2_llamapro,generalist2,3.0,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,wrong_id_matchable,False,18,20250701_000359,3.0,2
generalist2_llamapro_18_b3,llama-pro,generalist2_llamapro,generalist2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,18,20250701_000359,4.0,3
generalist2_llamapro_18_b4,llama-pro,generalist2_llamapro,generalist2,5.0,lack of pilot projects,Lack of pilot projects,matched,wrong_id_matchable,False,18,20250701_000359,5.0,4
generalist2_llamapro_18_b5,llama-pro,generalist2_llamapro,generalist2,6.0,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,18,20250701_000359,6.0,5
generalist2_llamapro_18_b6,llama-pro,generalist2_llamapro,generalist2,7.0,incompatibility of DC systems components,Incompatibility of DC systems components,matched,wrong_id_matchable,False,18,20250701_000359,7.0,6
generalist2_llamapro_18_b7,llama-pro,generalist2_llamapro,generalist2,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,18,20250701_000359,8.0,7
generalist2_llamapro_18_b8,llama-pro,generalist2_llamapro,generalist2,9.0,lack of enough trained personnel in DC systems,Lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,18,20250701_000359,9.0,8
generalist2_llamapro_18_b9,llama-pro,generalist2_llamapro,generalist2,10.0,uncertain regulatory roadmap,Uncertain regulatory roadmap,matched,wrong_id_matchable,False,18,20250701_000359,10.0,9
generalist2_llamapro_33_b1,llama-pro,generalist2_llamapro,generalist2,1.0,"power losses, quality and safety issues","Power losses, quality and safety issues.",matched,correct_id,False,33,20250701_003544,1.0,1
generalist2_llamapro_33_b2,llama-pro,generalist2_llamapro,generalist2,2.0,reduced reliability in DC devices,Reduced reliability in DC devices.,matched,correct_id,False,33,20250701_003544,2.0,2
generalist2_llamapro_33_b3,llama-pro,generalist2_llamapro,generalist2,3.0,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous.,matched,correct_id,False,33,20250701_003544,3.0,3
generalist2_llamapro_33_b4,llama-pro,generalist2_llamapro,generalist2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards).",matched,correct_id,False,33,20250701_003544,4.0,4
generalist2_llamapro_33_b5,llama-pro,generalist2_llamapro,generalist2,5.0,lack of pilot projects,Lack of pilot projects.,matched,correct_id,False,33,20250701_003544,5.0,5
generalist2_llamapro_33_b6,llama-pro,generalist2_llamapro,generalist2,6.0,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects.,matched,correct_id,False,33,20250701_003544,6.0,6
generalist_llamapro_03_b1,llama-pro,generalist_llamapro,generalist,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,3,20250630_232501,1.0,1
generalist_llamapro_03_b2,llama-pro,generalist_llamapro,generalist,2.0,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,3,20250630_232501,2.0,2
generalist_llamapro_03_b3,llama-pro,generalist_llamapro,generalist,3.0,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,3,20250630_232501,3.0,3
generalist_llamapro_03_b4,llama-pro,generalist_llamapro,generalist,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,3,20250630_232501,4.0,4
generalist_llamapro_03_b5,llama-pro,generalist_llamapro,generalist,5.0,lack of pilot projects,lack of pilot projects,matched,correct_id,False,3,20250630_232501,5.0,5
generalist_llamapro_03_b6,llama-pro,generalist_llamapro,generalist,6.0,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,3,20250630_232501,6.0,6
