row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,dict_barrier_id,original_barrier_id
generalist_gemma312b_00_b1,gemma3-12b,generalist_gemma312b,generalist,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
generalist_gemma312b_00_b2,gemma3-12b,generalist_gemma312b,generalist,5.0,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,0,20250628_123155,5.0,2
generalist_gemma312b_00_b3,gemma3-12b,generalist_gemma312b,generalist,6.0,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,0,20250628_123155,6.0,3
generalist_gemma312b_00_b4,gemma3-12b,generalist_gemma312b,generalist,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,0,20250628_123155,8.0,4
generalist_gemma312b_00_b5,gemma3-12b,generalist_gemma312b,generalist,11.0,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,0,20250628_123155,11.0,5
generalist2_gemma312b_00_b1,gemma3-12b,generalist2_gemma312b,generalist2,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
generalist2_gemma312b_00_b4,gemma3-12b,generalist2_gemma312b,generalist2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250628_123155,4.0,4
generalist2_gemma312b_00_b8,gemma3-12b,generalist2_gemma312b,generalist2,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,0,20250628_123155,8.0,8
generalist2_gemma312b_00_b9,gemma3-12b,generalist2_gemma312b,generalist2,9.0,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,0,20250628_123155,9.0,9
generalist2_gemma312b_00_b11,gemma3-12b,generalist2_gemma312b,generalist2,11.0,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,0,20250628_123155,11.0,11
normative_gemma312b_00_b1,gemma3-12b,normative_gemma312b,normative,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
normative_gemma312b_00_b4,gemma3-12b,normative_gemma312b,normative,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250628_123155,4.0,4
normative_gemma312b_00_b7,gemma3-12b,normative_gemma312b,normative,7.0,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,0,20250628_123155,7.0,7
normative_gemma312b_00_b8,gemma3-12b,normative_gemma312b,normative,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,0,20250628_123155,8.0,8
normative_gemma312b_00_b11,gemma3-12b,normative_gemma312b,normative,11.0,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,0,20250628_123155,11.0,11
normative2_gemma312b_00_b1,gemma3-12b,normative2_gemma312b,normative2,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
normative2_gemma312b_00_b4,gemma3-12b,normative2_gemma312b,normative2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250628_123155,4.0,4
normative2_gemma312b_00_b8,gemma3-12b,normative2_gemma312b,normative2,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,0,20250628_123155,8.0,8
normative2_gemma312b_00_b9,gemma3-12b,normative2_gemma312b,normative2,9.0,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,0,20250628_123155,9.0,9
normative2_gemma312b_00_b11,gemma3-12b,normative2_gemma312b,normative2,11.0,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,0,20250628_123155,11.0,11
subject_matter_gemma312b_00_b1,gemma3-12b,subject_matter_gemma312b,subject_matter,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
subject_matter_gemma312b_00_b2,gemma3-12b,subject_matter_gemma312b,subject_matter,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,0,20250628_123155,4.0,2
subject_matter_gemma312b_00_b3,gemma3-12b,subject_matter_gemma312b,subject_matter,8.0,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,0,20250628_123155,8.0,3
subject_matter_gemma312b_00_b4,gemma3-12b,subject_matter_gemma312b,subject_matter,9.0,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,0,20250628_123155,9.0,4
subject_matter_gemma312b_00_b5,gemma3-12b,subject_matter_gemma312b,subject_matter,11.0,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,0,20250628_123155,11.0,5
subject_matter2_gemma312b_00_b1,gemma3-12b,subject_matter2_gemma312b,subject_matter2,1.0,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,1.0,1
subject_matter2_gemma312b_00_b4,gemma3-12b,subject_matter2_gemma312b,subject_matter2,4.0,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250628_123155,4.0,4
subject_matter2_gemma312b_00_b7,gemma3-12b,subject_matter2_gemma312b,subject_matter2,7.0,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,0,20250628_123155,7.0,7
subject_matter2_gemma312b_00_b9,gemma3-12b,subject_matter2_gemma312b,subject_matter2,9.0,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,0,20250628_123155,9.0,9
subject_matter2_gemma312b_00_b11,gemma3-12b,subject_matter2_gemma312b,subject_matter2,11.0,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,0,20250628_123155,11.0,11
