row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,dict_barrier_id,original_barrier_id
generalist2_gemma312b_00_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,0,20250628_123155,1,1
generalist2_gemma312b_00_b11,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,0,20250628_123155,11,11
generalist2_gemma312b_00_b4,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,FALSE,0,20250628_123155,4,4
generalist2_gemma312b_00_b8,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,0,20250628_123155,8,8
generalist2_gemma312b_00_b9,gemma3-12b,generalist2_gemma312b,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,FALSE,0,20250628_123155,9,9
generalist2_gemma312b_01_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,FALSE,1,20250628_123356,1,1
generalist2_gemma312b_01_b2,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,FALSE,1,20250628_123356,4,2
generalist2_gemma312b_01_b3,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,FALSE,1,20250628_123356,8,3
generalist2_gemma312b_01_b4,gemma3-12b,generalist2_gemma312b,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,FALSE,1,20250628_123356,9,4
generalist2_gemma312b_01_b5,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,FALSE,1,20250628_123356,11,5
