row_id,source,base_model,variant_id,model,barrier_id,barrier_label,iteration,timestamp,condition
he03_s1,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he08_s1,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he09_s1,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he19_s2,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he20_s2,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he22_s2,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he23_s2,human,,,,1,"power losses, quality and safety issues",,,ZEROSHOT
he01_s1,human,,,,2,reduced reliability in DC devices,,,ZEROSHOT
he17_s2,human,,,,2,reduced reliability in DC devices,,,ZEROSHOT
he20_s2,human,,,,2,reduced reliability in DC devices,,,ZEROSHOT
he21_s2,human,,,,2,reduced reliability in DC devices,,,ZEROSHOT
he02_s1,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he06_s1,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he15_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he17_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he18_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he20_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he22_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he23_s2,human,,,,3,lack of use-cases in which DC is advantageous,,,ZEROSHOT
he02_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he03_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he05_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he06_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he08_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he09_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he12_s1,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he15_s2,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he16_s2,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he20_s2,human,,,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,ZEROSHOT
he02_s1,human,,,,5,lack of pilot projects,,,ZEROSHOT
he04_s1,human,,,,5,lack of pilot projects,,,ZEROSHOT
he08_s1,human,,,,5,lack of pilot projects,,,ZEROSHOT
he10_s1,human,,,,5,lack of pilot projects,,,ZEROSHOT
he14_s2,human,,,,5,lack of pilot projects,,,ZEROSHOT
he16_s2,human,,,,5,lack of pilot projects,,,ZEROSHOT
he18_s2,human,,,,5,lack of pilot projects,,,ZEROSHOT
he21_s2,human,,,,5,lack of pilot projects,,,ZEROSHOT
he05_s1,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he07_s1,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he09_s1,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he11_s1,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he12_s1,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he13_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he17_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he18_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he19_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he21_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he23_s2,human,,,,6,public perception of DC and readiness to 'champion' installations from DC projects,,,ZEROSHOT
he10_s1,human,,,,7,incompatibility of DC systems components,,,ZEROSHOT
he11_s1,human,,,,7,incompatibility of DC systems components,,,ZEROSHOT
he14_s2,human,,,,7,incompatibility of DC systems components,,,ZEROSHOT
he22_s2,human,,,,7,incompatibility of DC systems components,,,ZEROSHOT
he02_s1,human,,,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,,ZEROSHOT
