row_id,variant_id,source,model,dc_solution,rating,label
he01_cables,he01,human,s1,Smart and sustainable DC cables,3,important
he01_connectors,he01,human,s1,DC connectors,3,important
he01_staticProtection,he01,human,s1,Static protection system,4,very important
he01_circuitBreaker,he01,human,s1,Semiconductor-based circuit breaker,4,very important
he01_protectionDesign,he01,human,s1,Protection DC system design tool,4,very important
he01_converter,he01,human,s1,DC-DC converter,4,very important
he01_measurementDevice,he01,human,s1,DC measurement device,4,very important
he01_interlink,he01,human,s1,LVAC-LVDC interlink converter,3,important
he01_solutionDesign,he01,human,s1,DC solution design tool,4,very important
he02_connectors,he02,human,s1,DC connectors,4,very important
he02_cables,he02,human,s1,Smart and sustainable DC cables,2,somewhat important
he02_staticProtection,he02,human,s1,Static protection system,4,very important
he02_circuitBreaker,he02,human,s1,Semiconductor-based circuit breaker,4,very important
he02_protectionDesign,he02,human,s1,Protection DC system design tool,4,very important
he02_measurementDevice,he02,human,s1,DC measurement device,3,important
he02_converter,he02,human,s1,DC-DC converter,3,important
he02_interlink,he02,human,s1,LVAC-LVDC interlink converter,4,very important
he02_solutionDesign,he02,human,s1,DC solution design tool,3,important
he03_connectors,he03,human,s1,DC connectors,4,very important
he03_cables,he03,human,s1,Smart and sustainable DC cables,4,very important
he03_staticProtection,he03,human,s1,Static protection system,4,very important
he03_circuitBreaker,he03,human,s1,Semiconductor-based circuit breaker,4,very important
he03_protectionDesign,he03,human,s1,Protection DC system design tool,3,important
he03_measurementDevice,he03,human,s1,DC measurement device,3,important
he03_converter,he03,human,s1,DC-DC converter,4,very important
he03_interlink,he03,human,s1,LVAC-LVDC interlink converter,4,very important
he03_solutionDesign,he03,human,s1,DC solution design tool,4,very important
he04_connectors,he04,human,s1,DC connectors,4,very important
he04_cables,he04,human,s1,Smart and sustainable DC cables,3,important
he04_staticProtection,he04,human,s1,Static protection system,4,very important
he04_circuitBreaker,he04,human,s1,Semiconductor-based circuit breaker,4,very important
he04_protectionDesign,he04,human,s1,Protection DC system design tool,4,very important
he04_measurementDevice,he04,human,s1,DC measurement device,3,important
he04_converter,he04,human,s1,DC-DC converter,4,very important
he04_interlink,he04,human,s1,LVAC-LVDC interlink converter,4,very important
he04_solutionDesign,he04,human,s1,DC solution design tool,4,very important
he05_connectors,he05,human,s1,DC connectors,4,very important
he05_cables,he05,human,s1,Smart and sustainable DC cables,4,very important
he05_staticProtection,he05,human,s1,Static protection system,4,very important
he05_circuitBreaker,he05,human,s1,Semiconductor-based circuit breaker,4,very important
he05_protectionDesign,he05,human,s1,Protection DC system design tool,3,important
he05_converter,he05,human,s1,DC-DC converter,4,very important
he05_measurementDevice,he05,human,s1,DC measurement device,3,important
he05_interlink,he05,human,s1,LVAC-LVDC interlink converter,4,very important
he05_solutionDesign,he05,human,s1,DC solution design tool,4,very important
he06_connectors,he06,human,s1,DC connectors,3,important
he06_cables,he06,human,s1,Smart and sustainable DC cables,4,very important
he06_staticProtection,he06,human,s1,Static protection system,4,very important
he06_circuitBreaker,he06,human,s1,Semiconductor-based circuit breaker,4,very important
he06_protectionDesign,he06,human,s1,Protection DC system design tool,4,very important
he06_measurementDevice,he06,human,s1,DC measurement device,4,very important
he06_converter,he06,human,s1,DC-DC converter,4,very important
he06_interlink,he06,human,s1,LVAC-LVDC interlink converter,4,very important
he06_solutionDesign,he06,human,s1,DC solution design tool,4,very important
he07_connectors,he07,human,s1,DC connectors,4,very important
he07_cables,he07,human,s1,Smart and sustainable DC cables,4,very important
he07_staticProtection,he07,human,s1,Static protection system,4,very important
he07_circuitBreaker,he07,human,s1,Semiconductor-based circuit breaker,4,very important
he07_protectionDesign,he07,human,s1,Protection DC system design tool,4,very important
he07_measurementDevice,he07,human,s1,DC measurement device,3,important
he07_converter,he07,human,s1,DC-DC converter,4,very important
he07_interlink,he07,human,s1,LVAC-LVDC interlink converter,4,very important
he07_solutionDesign,he07,human,s1,DC solution design tool,4,very important
he08_connectors,he08,human,s1,DC connectors,4,very important
he08_cables,he08,human,s1,Smart and sustainable DC cables,4,very important
he08_staticProtection,he08,human,s1,Static protection system,4,very important
he08_circuitBreaker,he08,human,s1,Semiconductor-based circuit breaker,4,very important
he08_protectionDesign,he08,human,s1,Protection DC system design tool,4,very important
he08_converter,he08,human,s1,DC-DC converter,4,very important
he08_interlink,he08,human,s1,LVAC-LVDC interlink converter,3,important
he08_solutionDesign,he08,human,s1,DC solution design tool,4,very important
he09_connectors,he09,human,s1,DC connectors,4,very important
he09_cables,he09,human,s1,Smart and sustainable DC cables,4,very important
he09_staticProtection,he09,human,s1,Static protection system,4,very important
he09_circuitBreaker,he09,human,s1,Semiconductor-based circuit breaker,4,very important
he09_protectionDesign,he09,human,s1,Protection DC system design tool,4,very important
he09_measurementDevice,he09,human,s1,DC measurement device,3,important
he09_converter,he09,human,s1,DC-DC converter,4,very important
he09_interlink,he09,human,s1,LVAC-LVDC interlink converter,4,very important
he09_solutionDesign,he09,human,s1,DC solution design tool,4,very important
he10_connectors,he10,human,s1,DC connectors,3,important
he10_cables,he10,human,s1,Smart and sustainable DC cables,3,important
he10_staticProtection,he10,human,s1,Static protection system,4,very important
he10_circuitBreaker,he10,human,s1,Semiconductor-based circuit breaker,4,very important
he10_protectionDesign,he10,human,s1,Protection DC system design tool,4,very important
he10_measurementDevice,he10,human,s1,DC measurement device,3,important
he10_converter,he10,human,s1,DC-DC converter,3,important
he10_interlink,he10,human,s1,LVAC-LVDC interlink converter,3,important
he10_solutionDesign,he10,human,s1,DC solution design tool,3,important
he11_connectors,he11,human,s1,DC connectors,4,very important
he11_cables,he11,human,s1,Smart and sustainable DC cables,3,important
he11_staticProtection,he11,human,s1,Static protection system,4,very important
he11_circuitBreaker,he11,human,s1,Semiconductor-based circuit breaker,4,very important
he11_protectionDesign,he11,human,s1,Protection DC system design tool,3,important
he11_measurementDevice,he11,human,s1,DC measurement device,3,important
he11_converter,he11,human,s1,DC-DC converter,4,very important
he11_interlink,he11,human,s1,LVAC-LVDC interlink converter,4,very important
he11_solutionDesign,he11,human,s1,DC solution design tool,3,important
he12_connectors,he12,human,s1,DC connectors,4,very important
he12_cables,he12,human,s1,Smart and sustainable DC cables,4,very important
he12_staticProtection,he12,human,s1,Static protection system,3,important
he12_circuitBreaker,he12,human,s1,Semiconductor-based circuit breaker,4,very important
he12_protectionDesign,he12,human,s1,Protection DC system design tool,3,important
he12_measurementDevice,he12,human,s1,DC measurement device,4,very important
he12_converter,he12,human,s1,DC-DC converter,4,very important
he12_interlink,he12,human,s1,LVAC-LVDC interlink converter,4,very important
he12_solutionDesign,he12,human,s1,DC solution design tool,3,important
he13_cables,he13,human,s2,Smart and sustainable DC cables,1,not important
he13_connectors,he13,human,s2,DC connectors,2,somewhat important
he13_solidState,he13,human,s2,Solid-state circuit breaker,4,very important
he13_interlink,he13,human,s2,LVAC-LVDC interlink converter,2,somewhat important
he13_networkDesign,he13,human,s2,Network design tool for DC solutions,4,very important
he14_cables,he14,human,s2,Smart and sustainable DC cables,3,important
he14_connectors,he14,human,s2,DC connectors,1,not important
he14_solidState,he14,human,s2,Solid-state circuit breaker,1,not important
he14_interlink,he14,human,s2,LVAC-LVDC interlink converter,2,somewhat important
he14_networkDesign,he14,human,s2,Network design tool for DC solutions,3,important
he15_cables,he15,human,s2,Smart and sustainable DC cables,3,important
he15_connectors,he15,human,s2,DC connectors,4,very important
he15_solidState,he15,human,s2,Solid-state circuit breaker,4,very important
he15_interlink,he15,human,s2,LVAC-LVDC interlink converter,4,very important
he15_networkDesign,he15,human,s2,Network design tool for DC solutions,4,very important
he16_cables,he16,human,s2,Smart and sustainable DC cables,4,very important
he16_connectors,he16,human,s2,DC connectors,4,very important
he16_solidState,he16,human,s2,Solid-state circuit breaker,4,very important
he16_interlink,he16,human,s2,LVAC-LVDC interlink converter,4,very important
he16_networkDesign,he16,human,s2,Network design tool for DC solutions,4,very important
he17_cables,he17,human,s2,Smart and sustainable DC cables,3,important
he17_connectors,he17,human,s2,DC connectors,4,very important
he17_solidState,he17,human,s2,Solid-state circuit breaker,3,important
he17_interlink,he17,human,s2,LVAC-LVDC interlink converter,4,very important
he17_networkDesign,he17,human,s2,Network design tool for DC solutions,4,very important
he18_cables,he18,human,s2,Smart and sustainable DC cables,3,important
he18_connectors,he18,human,s2,DC connectors,3,important
he18_solidState,he18,human,s2,Solid-state circuit breaker,4,very important
he18_interlink,he18,human,s2,LVAC-LVDC interlink converter,4,very important
he18_networkDesign,he18,human,s2,Network design tool for DC solutions,4,very important
he19_cables,he19,human,s2,Smart and sustainable DC cables,4,very important
he19_connectors,he19,human,s2,DC connectors,3,important
he19_solidState,he19,human,s2,Solid-state circuit breaker,4,very important
he19_interlink,he19,human,s2,LVAC-LVDC interlink converter,4,very important
he19_networkDesign,he19,human,s2,Network design tool for DC solutions,4,very important
he20_cables,he20,human,s2,Smart and sustainable DC cables,3,important
