family,condition,barrier_id,pct
phi4,ZEROSHOT,1,20
phi4,ZEROSHOT,2,2.6
phi4,ZEROSHOT,3,12.133333333333333
phi4,ZEROSHOT,4,19.866666666666667
phi4,ZEROSHOT,5,10.2
phi4,ZEROSHOT,6,3.733333333333334
phi4,ZEROSHOT,7,0.9333333333333336
phi4,ZEROSHOT,8,7.8
phi4,ZEROSHOT,9,5.266666666666667
phi4,ZEROSHOT,10,16.8
phi4,ZEROSHOT,11,0.6666666666666666
phi4,CONTEXT,1,20
phi4,CONTEXT,2,6.266666666666667
phi4,CONTEXT,3,4.4
phi4,CONTEXT,4,19.933333333333337
phi4,CONTEXT,5,2.4
phi4,CONTEXT,6,11.733333333333333
phi4,CONTEXT,7,0.2
phi4,CONTEXT,8,11.533333333333331
phi4,CONTEXT,9,1.3333333333333333
phi4,CONTEXT,10,19.533333333333335
phi4,CONTEXT,11,2.6666666666666665
llama,ZEROSHOT,1,17.8
llama,ZEROSHOT,2,12.4
llama,ZEROSHOT,3,16.133333333333333
llama,ZEROSHOT,4,19.333333333333336
llama,ZEROSHOT,5,14.6
llama,ZEROSHOT,6,9.266666666666667
llama,ZEROSHOT,7,4.466666666666667
llama,ZEROSHOT,8,1.2
llama,ZEROSHOT,9,1.2666666666666666
llama,ZEROSHOT,10,0.8666666666666666
llama,ZEROSHOT,11,2.6666666666666665
llama,CONTEXT,1,17.866666666666667
llama,CONTEXT,2,13.333333333333334
llama,CONTEXT,3,16.266666666666666
llama,CONTEXT,4,18.133333333333333
llama,CONTEXT,5,13.4
llama,CONTEXT,6,7.333333333333333
llama,CONTEXT,7,6.133333333333333
llama,CONTEXT,8,2.3333333333333335
llama,CONTEXT,9,2.6
llama,CONTEXT,10,1.2
llama,CONTEXT,11,1.4
mistral,ZEROSHOT,1,20
mistral,ZEROSHOT,2,19.333333333333336
mistral,ZEROSHOT,3,17.2
mistral,ZEROSHOT,4,19.6
mistral,ZEROSHOT,5,17.733333333333334
mistral,ZEROSHOT,6,0.4
mistral,ZEROSHOT,7,0.5333333333333333
mistral,ZEROSHOT,8,0.06666666666666667
mistral,ZEROSHOT,9,1.4
mistral,ZEROSHOT,10,2.7333333333333334
mistral,ZEROSHOT,11,1
mistral,CONTEXT,1,20
mistral,CONTEXT,2,18.46666666666667
mistral,CONTEXT,3,6.266666666666667
mistral,CONTEXT,4,19.8
mistral,CONTEXT,5,19.666666666666668
mistral,CONTEXT,6,5.2
mistral,CONTEXT,7,0.9333333333333336
mistral,CONTEXT,8,0.6
mistral,CONTEXT,9,1.2
mistral,CONTEXT,10,4.4
mistral,CONTEXT,11,3.4666666666666663
gemma3,ZEROSHOT,1,20
gemma3,ZEROSHOT,2,0
gemma3,ZEROSHOT,3,0
gemma3,ZEROSHOT,4,14.533333333333337
gemma3,ZEROSHOT,5,6.666666666666667
gemma3,ZEROSHOT,6,6.666666666666667
gemma3,ZEROSHOT,7,5.533333333333333
gemma3,ZEROSHOT,8,11
gemma3,ZEROSHOT,9,12.4
gemma3,ZEROSHOT,10,4.266666666666667
gemma3,ZEROSHOT,11,18.933333333333337
gemma3,CONTEXT,1,20
gemma3,CONTEXT,2,0
gemma3,CONTEXT,3,0
gemma3,CONTEXT,4,20
gemma3,CONTEXT,5,0
gemma3,CONTEXT,6,2.533333333333333
gemma3,CONTEXT,7,17.333333333333332
gemma3,CONTEXT,8,13.4
gemma3,CONTEXT,9,6.6000000000000005
gemma3,CONTEXT,10,0.8
gemma3,CONTEXT,11,19.333333333333336
