row_id,source,base_model,variant_id,model,barrier_id,barrier_label,condition,iteration,timestamp
generalist2_gemma3_00_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,0.0,20250807_140404
generalist2_gemma3_00_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,0.0,20250807_140404
generalist2_gemma3_00_b7,llm,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,CONTEXT,0.0,20250807_140404
generalist2_gemma3_00_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,0.0,20250807_140404
generalist2_gemma3_00_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,0.0,20250807_140404
generalist2_gemma3_01_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,1.0,20250807_140911
generalist2_gemma3_01_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,1.0,20250807_140911
generalist2_gemma3_01_b7,llm,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,CONTEXT,1.0,20250807_140911
generalist2_gemma3_01_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,1.0,20250807_140911
generalist2_gemma3_01_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,1.0,20250807_140911
generalist2_gemma3_02_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,2.0,20250807_141227
generalist2_gemma3_02_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,2.0,20250807_141227
generalist2_gemma3_02_b6,llm,gemma3,generalist2_gemma3,generalist2,6,public perception of DC and readiness to 'champion' installations from DC projects,CONTEXT,2.0,20250807_141227
generalist2_gemma3_02_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,2.0,20250807_141227
generalist2_gemma3_02_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,2.0,20250807_141227
generalist2_gemma3_03_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,3.0,20250807_141542
generalist2_gemma3_03_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,3.0,20250807_141542
generalist2_gemma3_03_b7,llm,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,CONTEXT,3.0,20250807_141542
generalist2_gemma3_03_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,3.0,20250807_141542
generalist2_gemma3_03_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,3.0,20250807_141542
generalist2_gemma3_04_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,4.0,20250807_141803
generalist2_gemma3_04_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,4.0,20250807_141803
generalist2_gemma3_04_b7,llm,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,CONTEXT,4.0,20250807_141803
generalist2_gemma3_04_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,4.0,20250807_141803
generalist2_gemma3_04_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,4.0,20250807_141803
generalist2_gemma3_05_b1,llm,gemma3,generalist2_gemma3,generalist2,1,"power losses, quality and safety issues",CONTEXT,5.0,20250807_142035
generalist2_gemma3_05_b4,llm,gemma3,generalist2_gemma3,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",CONTEXT,5.0,20250807_142035
generalist2_gemma3_05_b7,llm,gemma3,generalist2_gemma3,generalist2,7,incompatibility of DC systems components,CONTEXT,5.0,20250807_142035
generalist2_gemma3_05_b8,llm,gemma3,generalist2_gemma3,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,CONTEXT,5.0,20250807_142035
generalist2_gemma3_05_b11,llm,gemma3,generalist2_gemma3,generalist2,11,high costs of DC solutions,CONTEXT,5.0,20250807_142035
