family,barrier_id,pct_zero,pct_ctx,delta_pct,rank_zero,rank_ctx,delta_rank,jaccard
gemma3,1,20,20,0,1,1,0,0.667
gemma3,4,14.53,20,5.47,3,2,-1,0.667
gemma3,11,18.93,19.33,0.4,2,3,1,0.667
gemma3,7,5.53,17.33,11.8,8,4,-4,0.667
gemma3,8,11,13.4,2.4,5,5,0,0.667
gemma3,9,12.4,6.6,-5.8,4,6,2,0.667
llama,4,19.33,18.13,-1.2,1,1,0,1
llama,1,17.8,17.87,0.07,2,2,0,1
llama,3,16.13,16.27,0.13,3,3,0,1
llama,5,14.6,13.4,-1.2,4,4,0,1
llama,2,12.4,13.33,0.93,5,5,0,1
mistral,1,20,20,0,1,1,0,1
mistral,4,19.6,19.8,0.2,2,2,0,1
mistral,5,17.73,19.67,1.93,4,3,-1,1
mistral,2,19.33,18.47,-0.87,3,4,1,1
mistral,3,17.2,6.27,-10.93,5,5,0,1
phi4,1,20,20,0,1,1,0,0.429
phi4,4,19.87,19.93,0.07,2,2,0,0.429
phi4,10,16.8,19.53,2.73,3,3,0,0.429
phi4,6,3.73,11.73,8,8,4,-4,0.429
phi4,8,7.8,11.53,3.73,6,5,-1,0.429
phi4,3,12.13,4.4,-7.73,4,7,3,0.429
phi4,5,10.2,2.4,-7.8,5,9,4,0.429
