dc_solution,cliffs_delta
DC connectors,-0.2633333333333333
DC measurement device,0.06833333333333333
DC solution design tool,0.37094305555555557
DC-DC converter,-0.085
LVAC-LVDC interlink converter,-0.04416666666666667
Network design tool for DC solutions,0.1875
Protection DC system design tool,0.35583333333333333
Semiconductor-based circuit breaker,0.44685277777777777
Smart and sustainable DC cables,0.06166666666666667
Solid-state circuit breaker,0.4276
Static protection system,0.7765145833333333
