condition,base_model,dc_solution,prob_geq,threshold_k
ZEROSHOT,gemma3,DC connectors,0.6150240280629669,3
CONTEXT,gemma3,DC connectors,0.8043568340042728,3
ZEROSHOT,llama,DC connectors,0.16793073539310122,3
CONTEXT,llama,DC connectors,0.4402840703800417,3
ZEROSHOT,mistral,DC connectors,0.37197966862577314,3
CONTEXT,mistral,DC connectors,0.6406169788014887,3
ZEROSHOT,phi4,DC connectors,0.783921147568086,3
CONTEXT,phi4,DC connectors,0.9443273782850802,3
ZEROSHOT,gemma3,DC measurement device,0.5301473792033893,3
CONTEXT,gemma3,DC measurement device,0.7438366504345344,3
ZEROSHOT,llama,DC measurement device,0.12475975032865783,3
CONTEXT,llama,DC measurement device,0.3571504257494541,3
ZEROSHOT,mistral,DC measurement device,0.2949468980486082,3
CONTEXT,mistral,DC measurement device,0.557321515854891,3
ZEROSHOT,phi4,DC measurement device,0.7192855754830307,3
CONTEXT,phi4,DC measurement device,0.9229584950391012,3
ZEROSHOT,gemma3,DC solution design tool,0.7249227725333564,3
CONTEXT,gemma3,DC solution design tool,0.8714996016641412,3
ZEROSHOT,llama,DC solution design tool,0.24977151344095982,3
CONTEXT,llama,DC solution design tool,0.5647649936464327,3
ZEROSHOT,mistral,DC solution design tool,0.4942001315702237,3
CONTEXT,mistral,DC solution design tool,0.746224379314043,3
ZEROSHOT,phi4,DC solution design tool,0.8568289045693623,3
CONTEXT,phi4,DC solution design tool,0.9654943522242312,3
ZEROSHOT,gemma3,DC-DC converter,0.7107868635982897,3
CONTEXT,gemma3,DC-DC converter,0.8634775540728274,3
ZEROSHOT,llama,DC-DC converter,0.23692082219667498,3
CONTEXT,llama,DC-DC converter,0.5475357579083093,3
ZEROSHOT,mistral,DC-DC converter,0.4767654819330226,3
CONTEXT,mistral,DC-DC converter,0.7327796213220463,3
ZEROSHOT,phi4,DC-DC converter,0.8480506764968673,3
CONTEXT,phi4,DC-DC converter,0.9630917186537656,3
ZEROSHOT,gemma3,LVAC-LVDC interlink converter,0.2982826539842999,3
CONTEXT,gemma3,LVAC-LVDC interlink converter,0.5224301899449679,3
ZEROSHOT,llama,LVAC-LVDC interlink converter,0.05096369004119017,3
CONTEXT,llama,LVAC-LVDC interlink converter,0.17307645478542721,3
ZEROSHOT,mistral,LVAC-LVDC interlink converter,0.1361428286191657,3
CONTEXT,mistral,LVAC-LVDC interlink converter,0.3217095329638783,3
ZEROSHOT,phi4,LVAC-LVDC interlink converter,0.4911747872914113,3
CONTEXT,phi4,LVAC-LVDC interlink converter,0.8186183868136465,3
ZEROSHOT,gemma3,Network design tool for DC solutions,0.7824591248881724,3
CONTEXT,gemma3,Network design tool for DC solutions,0.9025007715606219,3
ZEROSHOT,llama,Network design tool for DC solutions,0.31242862951296735,3
CONTEXT,llama,Network design tool for DC solutions,0.6391242702353748,3
ZEROSHOT,mistral,Network design tool for DC solutions,0.5714675318362653,3
CONTEXT,mistral,Network design tool for DC solutions,0.8005311745765512,3
ZEROSHOT,phi4,Network design tool for DC solutions,0.8909264590692652,3
CONTEXT,phi4,Network design tool for DC solutions,0.9744829188788293,3
ZEROSHOT,gemma3,Protection DC system design tool,0.6867123205546339,3
CONTEXT,gemma3,Protection DC system design tool,0.8494205738327204,3
ZEROSHOT,llama,Protection DC system design tool,0.21686145753687636,3
CONTEXT,llama,Protection DC system design tool,0.5190667289976982,3
ZEROSHOT,mistral,Protection DC system design tool,0.4483300743521891,3
CONTEXT,mistral,Protection DC system design tool,0.7097883164964656,3
ZEROSHOT,phi4,Protection DC system design tool,0.8327130090052617,3
CONTEXT,phi4,Protection DC system design tool,0.9588021067661018,3
ZEROSHOT,gemma3,Semiconductor-based circuit breaker,0.7361894625863049,3
CONTEXT,gemma3,Semiconductor-based circuit breaker,0.8777749780960058,3
ZEROSHOT,llama,Semiconductor-based circuit breaker,0.2606509126263583,3
CONTEXT,llama,Semiconductor-based circuit breaker,0.5787798725765818,3
ZEROSHOT,mistral,Semiconductor-based circuit breaker,0.5085098196646369,3
CONTEXT,mistral,Semiconductor-based circuit breaker,0.7569111605508261,3
ZEROSHOT,phi4,Semiconductor-based circuit breaker,0.8637086876884598,3
CONTEXT,phi4,Semiconductor-based circuit breaker,0.9673514149273751,3
ZEROSHOT,gemma3,Smart and sustainable DC cables,0.6640810916041333,3
CONTEXT,gemma3,Smart and sustainable DC cables,0.8357314363872201,3
ZEROSHOT,llama,Smart and sustainable DC cables,0.19983754454934421,3
CONTEXT,llama,Smart and sustainable DC cables,0.4932616111146815,3
ZEROSHOT,mistral,Smart and sustainable DC cables,0.4229489438889883,3
CONTEXT,mistral,Smart and sustainable DC cables,0.6880668455338693,3
ZEROSHOT,phi4,Smart and sustainable DC cables,0.8178307347086666,3
CONTEXT,phi4,Smart and sustainable DC cables,0.9545244515859349,3
ZEROSHOT,gemma3,Solid-state circuit breaker,0.7954620004160302,3
CONTEXT,gemma3,Solid-state circuit breaker,0.9091614935679798,3
ZEROSHOT,llama,Solid-state circuit breaker,0.3294496639254937,3
CONTEXT,llama,Solid-state circuit breaker,0.6569382654160041,3
ZEROSHOT,mistral,Solid-state circuit breaker,0.5904813353937046,3
CONTEXT,mistral,Solid-state circuit breaker,0.8127124009135773,3
ZEROSHOT,phi4,Solid-state circuit breaker,0.8982887755294493,3
CONTEXT,phi4,Solid-state circuit breaker,0.9763549705503851,3
ZEROSHOT,gemma3,Static protection system,0.5030825017194952,3
CONTEXT,gemma3,Static protection system,0.7226410927815197,3
ZEROSHOT,llama,Static protection system,0.11339579705604674,3
CONTEXT,llama,Static protection system,0.33266426418775097,3
ZEROSHOT,mistral,Static protection system,0.272914881688493,3
CONTEXT,mistral,Static protection system,0.5304355149847513,3
ZEROSHOT,phi4,Static protection system,0.696886405678186,3
CONTEXT,phi4,Static protection system,0.9148880421055212,3
