category,prob,condition,base_model,dc_solution
0,2.44816593034767e-4,ZEROSHOT,gemma3,DC connectors
1,0.002644809944547698,ZEROSHOT,gemma3,DC connectors
2,0.38208634539945063,ZEROSHOT,gemma3,DC connectors
3,0.6150240280629669,ZEROSHOT,gemma3,DC connectors
0,9.51437464118086e-5,CONTEXT,gemma3,DC connectors
1,0.0010296789963306222,CONTEXT,gemma3,DC connectors
2,0.19451834325298475,CONTEXT,gemma3,DC connectors
3,0.8043568340042728,CONTEXT,gemma3,DC connectors
0,0.0019346122333873913,ZEROSHOT,llama,DC connectors
1,0.020490582966936104,ZEROSHOT,llama,DC connectors
2,0.8096440694065753,ZEROSHOT,llama,DC connectors
3,0.16793073539310122,ZEROSHOT,llama,DC connectors
0,4.970778452710853e-4,CONTEXT,llama,DC connectors
1,0.005354096516594019,CONTEXT,llama,DC connectors
2,0.5538647552580932,CONTEXT,llama,DC connectors
3,0.4402840703800417,CONTEXT,llama,DC connectors
0,6.600447737176717e-4,ZEROSHOT,mistral,DC connectors
1,0.007095815651731184,ZEROSHOT,mistral,DC connectors
2,0.620264470948778,ZEROSHOT,mistral,DC connectors
3,0.37197966862577314,ZEROSHOT,mistral,DC connectors
0,2.1941658583914505e-4,CONTEXT,mistral,DC connectors
1,0.002371118849140846,CONTEXT,mistral,DC connectors
2,0.3567924857635313,CONTEXT,mistral,DC connectors
3,0.6406169788014887,CONTEXT,mistral,DC connectors
0,1.0781984440713866e-4,ZEROSHOT,phi4,DC connectors
1,0.0011666893147060284,ZEROSHOT,phi4,DC connectors
2,0.2148043432728009,ZEROSHOT,phi4,DC connectors
3,0.783921147568086,ZEROSHOT,phi4,DC connectors
0,2.306294273657565e-5,CONTEXT,phi4,DC connectors
1,2.4980813841117517e-4,CONTEXT,phi4,DC connectors
2,0.055399750633772026,CONTEXT,phi4,DC connectors
3,0.9443273782850802,CONTEXT,phi4,DC connectors
0,3.465932734097531e-4,ZEROSHOT,gemma3,DC measurement device
1,0.003739832629355986,ZEROSHOT,gemma3,DC measurement device
2,0.465766194893845,ZEROSHOT,gemma3,DC measurement device
3,0.5301473792033893,ZEROSHOT,gemma3,DC measurement device
0,1.3470588169452294e-4,CONTEXT,gemma3,DC measurement device
1,0.0014571526736543415,CONTEXT,gemma3,DC measurement device
2,0.2545714910101168,CONTEXT,gemma3,DC measurement device
3,0.7438366504345344,CONTEXT,gemma3,DC measurement device
0,0.0027369581294174484,ZEROSHOT,llama,DC measurement device
1,0.028720836764225308,ZEROSHOT,llama,DC measurement device
2,0.8437824547776994,ZEROSHOT,llama,DC measurement device
3,0.12475975032865783,ZEROSHOT,llama,DC measurement device
0,7.036523349274874e-4,CONTEXT,llama,DC measurement device
1,0.007560742088471689,CONTEXT,llama,DC measurement device
2,0.6345851798271467,CONTEXT,llama,DC measurement device
3,0.3571504257494541,CONTEXT,llama,DC measurement device
0,9.342813858106587e-4,ZEROSHOT,mistral,DC measurement device
1,0.01001170605880601,ZEROSHOT,mistral,DC measurement device
2,0.6941071145067751,ZEROSHOT,mistral,DC measurement device
3,0.2949468980486082,ZEROSHOT,mistral,DC measurement device
0,3.106370978253677e-4,CONTEXT,mistral,DC measurement device
1,0.0033532780387795303,CONTEXT,mistral,DC measurement device
2,0.4390145690085041,CONTEXT,mistral,DC measurement device
3,0.557321515854891,CONTEXT,mistral,DC measurement device
0,1.5265207847561975e-4,ZEROSHOT,phi4,DC measurement device
1,0.001650931724678303,ZEROSHOT,phi4,DC measurement device
2,0.2789108407138153,ZEROSHOT,phi4,DC measurement device
3,0.7192855754830307,ZEROSHOT,phi4,DC measurement device
0,3.2653824132184365e-5,CONTEXT,phi4,DC measurement device
1,3.5365241750783113e-4,CONTEXT,phi4,DC measurement device
2,0.07665519871925874,CONTEXT,phi4,DC measurement device
3,0.9229584950391012,CONTEXT,phi4,DC measurement device
0,1.4842398090131537e-4,ZEROSHOT,gemma3,DC solution design tool
1,0.0016052850672264806,ZEROSHOT,gemma3,DC solution design tool
2,0.2733235184185159,ZEROSHOT,gemma3,DC solution design tool
3,0.7249227725333564,ZEROSHOT,gemma3,DC solution design tool
0,5.767902030532655e-5,CONTEXT,gemma3,DC solution design tool
