base_model,variant_id,dc_solution,iteration,CONTEXT,ZEROSHOT,delta
gemma3,gemma3_generalist,DC connectors,0.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,1.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,2.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,3.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,4.0,3,3,0
gemma3,gemma3_generalist,DC connectors,5.0,3,3,0
gemma3,gemma3_generalist,DC connectors,6.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,7.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,8.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,9.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,10.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,11.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,12.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,13.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,14.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,15.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,16.0,3,3,0
gemma3,gemma3_generalist,DC connectors,17.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,18.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,19.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,20.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,21.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,22.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,23.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,24.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,25.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,26.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,27.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,28.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,29.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,30.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,31.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,32.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,33.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,34.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,35.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,36.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,37.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,38.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,39.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,40.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,41.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,42.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,43.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,44.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,45.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,46.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,47.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,48.0,3,4,-1
gemma3,gemma3_generalist,DC connectors,49.0,3,3,0
gemma3,gemma3_generalist,DC measurement device,0.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,1.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,2.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,3.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,4.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,5.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,6.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,7.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,8.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,9.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,10.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,11.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,12.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,13.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,14.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,15.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,16.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,17.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,18.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,19.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,20.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,21.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,22.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,23.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,24.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,25.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,26.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,27.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,28.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,29.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,30.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,31.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,32.0,4,4,0
gemma3,gemma3_generalist,DC measurement device,33.0,4,4,0
