row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,condition
generalist2_gemma312b_00_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20250628_123155,ZEROSHOT
generalist2_gemma312b_00_b11,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,0,20250628_123155,ZEROSHOT
generalist2_gemma312b_00_b4,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20250628_123155,ZEROSHOT
generalist2_gemma312b_00_b8,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,0,20250628_123155,ZEROSHOT
generalist2_gemma312b_00_b9,gemma3-12b,generalist2_gemma312b,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,0,20250628_123155,ZEROSHOT
generalist2_gemma312b_01_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1,20250628_123356,ZEROSHOT
generalist2_gemma312b_01_b2,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,1,20250628_123356,ZEROSHOT
generalist2_gemma312b_01_b3,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,1,20250628_123356,ZEROSHOT
generalist2_gemma312b_01_b4,gemma3-12b,generalist2_gemma312b,generalist2,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,1,20250628_123356,ZEROSHOT
generalist2_gemma312b_01_b5,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,1,20250628_123356,ZEROSHOT
generalist2_gemma312b_02_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,2,20250628_124906,ZEROSHOT
generalist2_gemma312b_02_b2,gemma3-12b,generalist2_gemma312b,generalist2,5,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,2,20250628_124906,ZEROSHOT
generalist2_gemma312b_02_b3,gemma3-12b,generalist2_gemma312b,generalist2,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,2,20250628_124906,ZEROSHOT
generalist2_gemma312b_02_b4,gemma3-12b,generalist2_gemma312b,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,2,20250628_124906,ZEROSHOT
generalist2_gemma312b_02_b5,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,2,20250628_124906,ZEROSHOT
generalist2_gemma312b_03_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,3,20250628_125220,ZEROSHOT
generalist2_gemma312b_03_b2,gemma3-12b,generalist2_gemma312b,generalist2,5,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,3,20250628_125220,ZEROSHOT
generalist2_gemma312b_03_b3,gemma3-12b,generalist2_gemma312b,generalist2,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,3,20250628_125220,ZEROSHOT
generalist2_gemma312b_03_b4,gemma3-12b,generalist2_gemma312b,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,3,20250628_125220,ZEROSHOT
generalist2_gemma312b_03_b5,gemma3-12b,generalist2_gemma312b,generalist2,11,high costs of DC solutions,high costs of DC solutions,matched,wrong_id_matchable,False,3,20250628_125220,ZEROSHOT
generalist2_gemma312b_04_b1,gemma3-12b,generalist2_gemma312b,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,4,20250628_125409,ZEROSHOT
generalist2_gemma312b_04_b2,gemma3-12b,generalist2_gemma312b,generalist2,5,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,4,20250628_125409,ZEROSHOT
