condition,base_model,prob_geq,threshold_k
ZEROSHOT,gemma3,7.777007676612602e-5,3
CONTEXT,gemma3,6.899036897323185e-11,3
ZEROSHOT,gemma3-12b,5.557923010712784e-10,3
CONTEXT,gemma3-12b,4.440892098500626e-16,3
ZEROSHOT,gemma3_generalist,9.987800992194984e-5,3
CONTEXT,gemma3_generalist,8.860445710467957e-11,3
ZEROSHOT,gemma3_generalist2,9.987800992194984e-5,3
CONTEXT,gemma3_generalist2,8.860445710467957e-11,3
ZEROSHOT,gemma3_normative,9.987800992194984e-5,3
CONTEXT,gemma3_normative,8.860445710467957e-11,3
ZEROSHOT,gemma3_normative2,9.987800992194984e-5,3
CONTEXT,gemma3_normative2,8.860445710467957e-11,3
ZEROSHOT,gemma3_subject_matter,9.987800992194984e-5,3
CONTEXT,gemma3_subject_matter,8.860445710467957e-11,3
ZEROSHOT,gemma3_subject_matter2,9.987800992194984e-5,3
CONTEXT,gemma3_subject_matter2,8.860445710467957e-11,3
ZEROSHOT,llama,0.740548241926685,3
CONTEXT,llama,2.5318513859895475e-6,3
ZEROSHOT,llama-pro,4.14668299697496e-12,3
CONTEXT,llama-pro,0,3
ZEROSHOT,llama_generalist,9.987800992194984e-5,3
CONTEXT,llama_generalist,8.860445710467957e-11,3
ZEROSHOT,llama_generalist2,9.987800992194984e-5,3
CONTEXT,llama_generalist2,8.860445710467957e-11,3
ZEROSHOT,llama_normative,9.987800992194984e-5,3
CONTEXT,llama_normative,8.860445710467957e-11,3
ZEROSHOT,llama_normative2,9.987800992194984e-5,3
CONTEXT,llama_normative2,8.860445710467957e-11,3
ZEROSHOT,llama_subject_matter,0.999999886974245,3
CONTEXT,llama_subject_matter,0.8869815193274002,3
ZEROSHOT,llama_subject_matter2,9.987800992194984e-5,3
CONTEXT,llama_subject_matter2,8.860445710467957e-11,3
ZEROSHOT,mistral,2.206092775125512e-8,3
CONTEXT,mistral,7.717670946760791e-11,3
ZEROSHOT,mistral_generalist,9.987800992194984e-5,3
CONTEXT,mistral_generalist,8.860445710467957e-11,3
ZEROSHOT,mistral_generalist2,9.987800992194984e-5,3
CONTEXT,mistral_generalist2,8.860445710467957e-11,3
ZEROSHOT,mistral_normative,9.987800992194984e-5,3
CONTEXT,mistral_normative,8.860445710467957e-11,3
ZEROSHOT,mistral_normative2,9.987800992194984e-5,3
CONTEXT,mistral_normative2,8.860445710467957e-11,3
ZEROSHOT,mistral_subject_matter,9.987800992194984e-5,3
CONTEXT,mistral_subject_matter,8.860445710467957e-11,3
ZEROSHOT,mistral_subject_matter2,9.987800992194984e-5,3
CONTEXT,mistral_subject_matter2,8.860445710467957e-11,3
ZEROSHOT,phi4,3.2513587864269056e-6,3
CONTEXT,phi4,2.8841373733712317e-12,3
