row_id,source,condition,base_model,variant_id,model,rating,label,iteration,timestamp
llama_generalist_00_20250617_185210,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,0.0,20250617_185210
llama_generalist2_00_20250617_185210,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,0.0,20250617_185210
llama_normative_00_20250617_185210,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,0.0,20250617_185210
llama_normative2_00_20250617_185210,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,0.0,20250617_185210
llama_subject_matter_00_20250617_185210,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,0.0,20250617_185210
llama_subject_matter2_00_20250617_185210,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,0.0,20250617_185210
llama_generalist_01_20250617_185251,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,1.0,20250617_185251
llama_generalist2_01_20250617_185251,llm,ZEROSHOT,llama,llama_generalist2,generalist2,4,Very feasible,1.0,20250617_185251
llama_normative_01_20250617_185251,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,1.0,20250617_185251
llama_normative2_01_20250617_185251,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,1.0,20250617_185251
llama_subject_matter_01_20250617_185251,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,1.0,20250617_185251
llama_subject_matter2_01_20250617_185251,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,1.0,20250617_185251
llama_generalist_02_20250617_185320,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,2.0,20250617_185320
llama_generalist2_02_20250617_185320,llm,ZEROSHOT,llama,llama_generalist2,generalist2,2,Somewhat feasible,2.0,20250617_185320
llama_normative_02_20250617_185320,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,2.0,20250617_185320
llama_normative2_02_20250617_185320,llm,ZEROSHOT,llama,llama_normative2,normative2,4,Very feasible,2.0,20250617_185320
llama_subject_matter_02_20250617_185320,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,4,Very feasible,2.0,20250617_185320
llama_subject_matter2_02_20250617_185320,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,2.0,20250617_185320
llama_generalist_03_20250617_185431,llm,ZEROSHOT,llama,llama_generalist,generalist,4,Very feasible,3.0,20250617_185431
llama_generalist2_03_20250617_185431,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,3.0,20250617_185431
llama_normative_03_20250617_185431,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,3.0,20250617_185431
llama_normative2_03_20250617_185431,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,3.0,20250617_185431
llama_subject_matter_03_20250617_185431,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,3,Feasible,3.0,20250617_185431
llama_subject_matter2_03_20250617_185431,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,3.0,20250617_185431
llama_generalist_04_20250617_190229,llm,ZEROSHOT,llama,llama_generalist,generalist,2,Somewhat feasible,4.0,20250617_190229
llama_generalist2_04_20250617_190229,llm,ZEROSHOT,llama,llama_generalist2,generalist2,3,Feasible,4.0,20250617_190229
llama_normative_04_20250617_190229,llm,ZEROSHOT,llama,llama_normative,normative,4,Very feasible,4.0,20250617_190229
llama_normative2_04_20250617_190229,llm,ZEROSHOT,llama,llama_normative2,normative2,3,Feasible,4.0,20250617_190229
llama_subject_matter_04_20250617_190229,llm,ZEROSHOT,llama,llama_subject_matter,subject_matter,2,Somewhat feasible,4.0,20250617_190229
llama_subject_matter2_04_20250617_190229,llm,ZEROSHOT,llama,llama_subject_matter2,subject_matter2,3,Feasible,4.0,20250617_190229
llama_generalist_05_20250617_190254,llm,ZEROSHOT,llama,llama_generalist,generalist,3,Feasible,5.0,20250617_190254
llama_generalist2_05_20250617_190254,llm,ZEROSHOT,llama,llama_generalist2,generalist2,4,Very feasible,5.0,20250617_190254
llama_normative_05_20250617_190254,llm,ZEROSHOT,llama,llama_normative,normative,3,Feasible,5.0,20250617_190254
