col_label,rating,pct
gemma3-context,1,0
gemma3-context,2,0
gemma3-context,3,0
gemma3-context,4,0
gemma3-zeroshot,1,0
gemma3-zeroshot,2,0
gemma3-zeroshot,3,0
gemma3-zeroshot,4,0
llama-context,1,0
llama-context,2,0
llama-context,3,0
llama-context,4,0
llama-zeroshot,1,0
llama-zeroshot,2,0
llama-zeroshot,3,0
llama-zeroshot,4,0
mistral-context,1,0
mistral-context,2,0
mistral-context,3,0
mistral-context,4,0
mistral-zeroshot,1,0
mistral-zeroshot,2,0
mistral-zeroshot,3,0
mistral-zeroshot,4,0
phi4-context,1,0
phi4-context,2,0
phi4-context,3,0
phi4-context,4,0
phi4-zeroshot,1,0
phi4-zeroshot,2,0
phi4-zeroshot,3,0
phi4-zeroshot,4,0
NA,1,0.05
NA,2,0.53
NA,3,37.57
NA,4,61.85
