category,prob,condition,base_model,dc_solution
0,1.591745942674373e-4,ZEROSHOT,gemma3,DC-DC converter
1,0.0017211258991287896,ZEROSHOT,gemma3,DC-DC converter
2,0.2873324671327736,ZEROSHOT,gemma3,DC-DC converter
3,0.7107872323738302,ZEROSHOT,gemma3,DC-DC converter
0,6.185653026955914e-5,CONTEXT,gemma3,DC-DC converter
1,6.696132319382566e-4,CONTEXT,gemma3,DC-DC converter
2,0.1357894479802941,CONTEXT,gemma3,DC-DC converter
3,0.863479082257498,CONTEXT,gemma3,DC-DC converter
0,0.0012586043869414988,ZEROSHOT,llama,DC-DC converter
1,0.013434363182673305,ZEROSHOT,llama,DC-DC converter
2,0.7483881984286672,ZEROSHOT,llama,DC-DC converter
3,0.23691883400171798,ZEROSHOT,llama,DC-DC converter
0,3.232145715896717e-4,CONTEXT,llama,DC-DC converter
1,0.0034880989649896856,CONTEXT,llama,DC-DC converter
2,0.4486497948938308,CONTEXT,llama,DC-DC converter
3,0.5475388915695898,CONTEXT,llama,DC-DC converter
0,4.2921701414865785e-4,ZEROSHOT,mistral,DC-DC converter
1,0.004626281406996988,ZEROSHOT,mistral,DC-DC converter
2,0.5181828975203542,ZEROSHOT,mistral,DC-DC converter
3,0.4767616040585002,ZEROSHOT,mistral,DC-DC converter
0,1.4265980815816008e-4,CONTEXT,mistral,DC-DC converter
1,0.00154285555729448,CONTEXT,mistral,DC-DC converter
2,0.26553592832125605,CONTEXT,mistral,DC-DC converter
3,0.7327785563132914,CONTEXT,mistral,DC-DC converter
0,7.009824931620624e-5,ZEROSHOT,phi4,DC-DC converter
1,7.587580571993229e-4,ZEROSHOT,phi4,DC-DC converter
2,0.15111916397282973,ZEROSHOT,phi4,DC-DC converter
3,0.8480519797206547,ZEROSHOT,phi4,DC-DC converter
0,1.4993808854860569e-5,CONTEXT,phi4,DC-DC converter
1,1.6240192857817248e-4,CONTEXT,phi4,DC-DC converter
2,0.036730661794722286,CONTEXT,phi4,DC-DC converter
3,0.9630919424678447,CONTEXT,phi4,DC-DC converter
0,2.4484993196213664e-4,ZEROSHOT,gemma3,DC connectors
1,0.002644840310943369,ZEROSHOT,gemma3,DC connectors
2,0.38208614789078804,ZEROSHOT,gemma3,DC connectors
3,0.6150241618663064,ZEROSHOT,gemma3,DC connectors
0,9.515564219683619e-5,CONTEXT,gemma3,DC connectors
1,0.0010296793926383267,CONTEXT,gemma3,DC connectors
2,0.1945164843126134,CONTEXT,gemma3,DC connectors
3,0.8043586806525514,CONTEXT,gemma3,DC connectors
0,0.0019348999437414425,ZEROSHOT,llama,DC connectors
1,0.020491060382383307,ZEROSHOT,llama,DC connectors
2,0.8096450126324225,ZEROSHOT,llama,DC connectors
3,0.16792902704145274,ZEROSHOT,llama,DC connectors
0,4.971401260215786e-4,CONTEXT,llama,DC connectors
1,0.0053540997047176265,CONTEXT,llama,DC connectors
2,0.5538618754677984,CONTEXT,llama,DC connectors
3,0.4402868847014624,CONTEXT,llama,DC connectors
0,6.601460593654564e-4,ZEROSHOT,mistral,DC connectors
1,0.007096017958840543,ZEROSHOT,mistral,DC connectors
2,0.620268085906554,ZEROSHOT,mistral,DC connectors
3,0.37197575007524,ZEROSHOT,mistral,DC connectors
0,2.1944805344512513e-4,CONTEXT,mistral,DC connectors
1,0.0023711631989530376,CONTEXT,mistral,DC connectors
2,0.35679394502870015,CONTEXT,mistral,DC connectors
3,0.6406154437189017,CONTEXT,mistral,DC connectors
0,1.0783363220648989e-4,ZEROSHOT,phi4,DC connectors
1,0.001166693080520012,ZEROSHOT,phi4,DC connectors
2,0.21480282076162083,ZEROSHOT,phi4,DC connectors
3,0.7839226525256526,ZEROSHOT,phi4,DC connectors
0,2.3065980272936748e-5,CONTEXT,phi4,DC connectors
1,2.4980990413362824e-4,CONTEXT,phi4,DC connectors
2,0.05539947940788482,CONTEXT,phi4,DC connectors
3,0.9443276447077086,CONTEXT,phi4,DC connectors
0,3.4664072374625553e-4,ZEROSHOT,gemma3,DC measurement device
1,0.003739878171860765,ZEROSHOT,gemma3,DC measurement device
2,0.4657661454064025,ZEROSHOT,gemma3,DC measurement device
3,0.5301473356979904,ZEROSHOT,gemma3,DC measurement device
0,1.3472282290266088e-4,CONTEXT,gemma3,DC measurement device
1,0.0014571542959444506,CONTEXT,gemma3,DC measurement device
2,0.2545693774375392,CONTEXT,gemma3,DC measurement device
3,0.7438387454436137,CONTEXT,gemma3,DC measurement device
0,0.0027373668547408885,ZEROSHOT,llama,DC measurement device
1,0.028721513971127266,ZEROSHOT,llama,DC measurement device
2,0.8437827846487511,ZEROSHOT,llama,DC measurement device
3,0.12475833452538077,ZEROSHOT,llama,DC measurement device
0,7.037410001932316e-4,CONTEXT,llama,DC measurement device
1,0.007560751732520618,CONTEXT,llama,DC measurement device
2,0.6345826293588699,CONTEXT,llama,DC measurement device
3,0.3571528779084162,CONTEXT,llama,DC measurement device
0,9.344254050767666e-4,ZEROSHOT,mistral,DC measurement device
1,0.010011997137212155,ZEROSHOT,mistral,DC measurement device
2,0.6941103214171165,ZEROSHOT,mistral,DC measurement device
3,0.29494325604059457,ZEROSHOT,mistral,DC measurement device
0,3.10681873509798e-4,CONTEXT,mistral,DC measurement device
1,0.0033533430804340934,CONTEXT,mistral,DC measurement device
2,0.4390162867194058,CONTEXT,mistral,DC measurement device
3,0.5573196883266502,CONTEXT,mistral,DC measurement device
0,1.5267171138733974e-4,ZEROSHOT,phi4,DC measurement device
1,0.001650938250944766,ZEROSHOT,phi4,DC measurement device
2,0.27890916999351084,ZEROSHOT,phi4,DC measurement device
3,0.7192872200441571,ZEROSHOT,phi4,DC measurement device
