base_model,dc_solution,OR,OR_l95,OR_u95
gemma3,DC connectors,4.982911760928433e-71,NA,NA
gemma3,DC measurement device,4.982911760928433e-71,NA,NA
gemma3,DC solution design tool,4.982911760928433e-71,NA,NA
gemma3,DC-DC converter,4.982911760928433e-71,NA,NA
gemma3,LVAC-LVDC interlink converter,4.982911760928433e-71,NA,NA
gemma3,Network design tool for DC solutions,4.982911760928433e-71,NA,NA
gemma3,Protection DC system design tool,4.982911760928433e-71,NA,NA
gemma3,Semiconductor-based circuit breaker,4.982911760928433e-71,NA,NA
gemma3,Smart and sustainable DC cables,4.982911760928433e-71,NA,NA
gemma3,Solid-state circuit breaker,4.982911760928433e-71,NA,NA
gemma3,Static protection system,4.982911760928433e-71,NA,NA
llama,DC connectors,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC measurement device,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC solution design tool,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC-DC converter,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,LVAC-LVDC interlink converter,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Network design tool for DC solutions,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Protection DC system design tool,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Semiconductor-based circuit breaker,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Smart and sustainable DC cables,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Solid-state circuit breaker,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Static protection system,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
mistral,DC connectors,1.2558989554704345,NA,NA
mistral,DC measurement device,1.2558989554704345,NA,NA
mistral,DC solution design tool,1.2558989554704345,NA,NA
mistral,DC-DC converter,1.2558989554704345,NA,NA
mistral,LVAC-LVDC interlink converter,1.2558989554704345,NA,NA
mistral,Network design tool for DC solutions,1.2558989554704345,NA,NA
mistral,Protection DC system design tool,1.2558989554704345,NA,NA
mistral,Semiconductor-based circuit breaker,1.2558989554704345,NA,NA
mistral,Smart and sustainable DC cables,1.2558989554704345,NA,NA
mistral,Solid-state circuit breaker,1.2558989554704345,NA,NA
mistral,Static protection system,1.2558989554704345,NA,NA
phi4,DC connectors,9.822634203180627e-25,NA,NA
phi4,DC measurement device,9.822634203180627e-25,NA,NA
phi4,DC solution design tool,9.822634203180627e-25,NA,NA
phi4,DC-DC converter,9.822634203180627e-25,NA,NA
phi4,LVAC-LVDC interlink converter,9.822634203180627e-25,NA,NA
phi4,Network design tool for DC solutions,9.822634203180627e-25,NA,NA
phi4,Protection DC system design tool,9.822634203180627e-25,NA,NA
phi4,Semiconductor-based circuit breaker,9.822634203180627e-25,NA,NA
phi4,Smart and sustainable DC cables,9.822634203180627e-25,NA,NA
phi4,Solid-state circuit breaker,9.822634203180627e-25,NA,NA
phi4,Static protection system,9.822634203180627e-25,NA,NA
