base_model,dc_solution,OR,OR_l95,OR_u95
gemma3,DC-DC converter,4.982911760928433e-71,NA,NA
gemma3,DC connectors,4.982911760928433e-71,NA,NA
gemma3,DC measurement device,4.982911760928433e-71,NA,NA
gemma3,DC solution design tool,4.982911760928433e-71,NA,NA
gemma3,LVAC-LVDC interlink converter,4.982911760928433e-71,NA,NA
gemma3,Network design tool for DC solutions,4.982911760928433e-71,NA,NA
gemma3,Protection DC system design tool,4.982911760928433e-71,NA,NA
gemma3,Semiconductor-based circuit breaker,4.982911760928433e-71,NA,NA
gemma3,Smart and sustainable DC cables,4.982911760928433e-71,NA,NA
gemma3,Solid-state circuit breaker,4.982911760928433e-71,NA,NA
gemma3,Static protection system,4.982911760928433e-71,NA,NA
