category,prob,condition,base_model,dc_solution
0,2.1184684130670008e-4,ZEROSHOT,gemma3,DC-DC converter
1,0.002289236631372398,ZEROSHOT,gemma3,DC-DC converter
2,0.34880663663891054,ZEROSHOT,gemma3,DC-DC converter
3,0.6486922798884104,ZEROSHOT,gemma3,DC-DC converter
0,8.232804166790916e-5,CONTEXT,gemma3,DC-DC converter
1,8.910070209687238e-4,CONTEXT,gemma3,DC-DC converter
2,0.17287756147461325,CONTEXT,gemma3,DC-DC converter
3,0.8261491034627502,CONTEXT,gemma3,DC-DC converter
0,0.001674478151049092,ZEROSHOT,llama,DC-DC converter
1,0.017786907536226967,ZEROSHOT,llama,DC-DC converter
2,0.7913914725559267,ZEROSHOT,llama,DC-DC converter
3,0.18914714175679725,ZEROSHOT,llama,DC-DC converter
0,4.301457099212289e-4,CONTEXT,llama,DC-DC converter
1,0.0046362405447646915,CONTEXT,llama,DC-DC converter
2,0.5187113869765403,CONTEXT,llama,DC-DC converter
3,0.4762222267687738,CONTEXT,llama,DC-DC converter
0,5.711975786151467e-4,ZEROSHOT,mistral,DC-DC converter
1,0.0061463232023591784,ZEROSHOT,mistral,DC-DC converter
2,0.5868987329584763,ZEROSHOT,mistral,DC-DC converter
3,0.4063837462605494,ZEROSHOT,mistral,DC-DC converter
0,1.898682077120253e-4,CONTEXT,mistral,DC-DC converter
1,0.00205226610343809,CONTEXT,mistral,DC-DC converter
2,0.3245232851785054,CONTEXT,mistral,DC-DC converter
3,0.6732345805103445,CONTEXT,mistral,DC-DC converter
0,9.329711549125677e-5,ZEROSHOT,phi4,DC-DC converter
1,0.0010095904538933304,ZEROSHOT,phi4,DC-DC converter
2,0.19145277257129686,ZEROSHOT,phi4,DC-DC converter
3,0.8074443398593185,ZEROSHOT,phi4,DC-DC converter
0,1.9956341894700705e-5,CONTEXT,phi4,DC-DC converter
1,2.1613975233728016e-4,CONTEXT,phi4,DC-DC converter
2,0.04829489999418609,CONTEXT,phi4,DC-DC converter
3,0.951469003911582,CONTEXT,phi4,DC-DC converter
0,2.1184684130670008e-4,ZEROSHOT,gemma3,DC connectors
1,0.002289236631372398,ZEROSHOT,gemma3,DC connectors
2,0.34880663663891054,ZEROSHOT,gemma3,DC connectors
3,0.6486922798884104,ZEROSHOT,gemma3,DC connectors
0,8.232804166790916e-5,CONTEXT,gemma3,DC connectors
