row_id,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp,source,condition
phi4_generalist_00_20250802_002700,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_generalist2_00_20250802_002700,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_normative_00_20250802_002700,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_normative2_00_20250802_002700,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_subject_matter_00_20250802_002700,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_subject_matter2_00_20250802_002700,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,0.0,20250802_002700,llm,CONTEXT
phi4_generalist_01_20250802_003059,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_generalist2_01_20250802_003059,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_normative_01_20250802_003059,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_normative2_01_20250802_003059,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_subject_matter_01_20250802_003059,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_subject_matter2_01_20250802_003059,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,1.0,20250802_003059,llm,CONTEXT
phi4_generalist_02_20250802_003302,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_generalist2_02_20250802_003302,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_normative_02_20250802_003302,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_normative2_02_20250802_003302,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_subject_matter_02_20250802_003302,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_subject_matter2_02_20250802_003302,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,2.0,20250802_003302,llm,CONTEXT
phi4_generalist_03_20250802_003634,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_generalist2_03_20250802_003634,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_normative_03_20250802_003634,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_normative2_03_20250802_003634,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_subject_matter_03_20250802_003634,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_subject_matter2_03_20250802_003634,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,3.0,20250802_003634,llm,CONTEXT
phi4_generalist_04_20250802_005601,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_generalist2_04_20250802_005601,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_normative_04_20250802_005601,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_normative2_04_20250802_005601,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_subject_matter_04_20250802_005601,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_subject_matter2_04_20250802_005601,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,4.0,20250802_005601,llm,CONTEXT
phi4_generalist_05_20250802_010219,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_generalist2_05_20250802_010219,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_normative_05_20250802_010219,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_normative2_05_20250802_010219,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_subject_matter_05_20250802_010219,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_subject_matter2_05_20250802_010219,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,5.0,20250802_010219,llm,CONTEXT
phi4_generalist_06_20250802_104417,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_generalist2_06_20250802_104417,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_normative_06_20250802_104417,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_normative2_06_20250802_104417,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_subject_matter_06_20250802_104417,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_subject_matter2_06_20250802_104417,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,6.0,20250802_104417,llm,CONTEXT
phi4_generalist_07_20250802_105252,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_generalist2_07_20250802_105252,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_normative_07_20250802_105252,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_normative2_07_20250802_105252,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_subject_matter_07_20250802_105252,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_subject_matter2_07_20250802_105252,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,7.0,20250802_105252,llm,CONTEXT
phi4_generalist_08_20250802_110619,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_generalist2_08_20250802_110619,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_normative_08_20250802_110619,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_normative2_08_20250802_110619,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_subject_matter_08_20250802_110619,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_subject_matter2_08_20250802_110619,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,8.0,20250802_110619,llm,CONTEXT
phi4_generalist_09_20250802_111129,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_generalist2_09_20250802_111129,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_normative_09_20250802_111129,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_normative2_09_20250802_111129,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_subject_matter_09_20250802_111129,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_subject_matter2_09_20250802_111129,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,9.0,20250802_111129,llm,CONTEXT
phi4_generalist_10_20250802_111242,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_generalist2_10_20250802_111242,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_normative_10_20250802_111242,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_normative2_10_20250802_111242,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_subject_matter_10_20250802_111242,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_subject_matter2_10_20250802_111242,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,10.0,20250802_111242,llm,CONTEXT
phi4_generalist_11_20250802_112047,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_generalist2_11_20250802_112047,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_normative_11_20250802_112047,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_normative2_11_20250802_112047,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_subject_matter_11_20250802_112047,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_subject_matter2_11_20250802_112047,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,11.0,20250802_112047,llm,CONTEXT
phi4_generalist_12_20250802_112444,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_generalist2_12_20250802_112444,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_normative_12_20250802_112444,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_normative2_12_20250802_112444,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_subject_matter_12_20250802_112444,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_subject_matter2_12_20250802_112444,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,12.0,20250802_112444,llm,CONTEXT
phi4_generalist_13_20250802_113130,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_generalist2_13_20250802_113130,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_normative_13_20250802_113130,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_normative2_13_20250802_113130,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_subject_matter_13_20250802_113130,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_subject_matter2_13_20250802_113130,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,13.0,20250802_113130,llm,CONTEXT
phi4_generalist_14_20250802_114340,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_generalist2_14_20250802_114340,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_normative_14_20250802_114340,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_normative2_14_20250802_114340,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_subject_matter_14_20250802_114340,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_subject_matter2_14_20250802_114340,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,14.0,20250802_114340,llm,CONTEXT
phi4_generalist_15_20250802_122655,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_generalist2_15_20250802_122655,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_normative_15_20250802_122655,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_normative2_15_20250802_122655,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_subject_matter_15_20250802_122655,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_subject_matter2_15_20250802_122655,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,15.0,20250802_122655,llm,CONTEXT
phi4_generalist_16_20250802_123647,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_generalist2_16_20250802_123647,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_normative_16_20250802_123647,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_normative2_16_20250802_123647,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_subject_matter_16_20250802_123647,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_subject_matter2_16_20250802_123647,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,16.0,20250802_123647,llm,CONTEXT
phi4_generalist_17_20250802_125518,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_generalist2_17_20250802_125518,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_normative_17_20250802_125518,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_normative2_17_20250802_125518,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_subject_matter_17_20250802_125518,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_subject_matter2_17_20250802_125518,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,17.0,20250802_125518,llm,CONTEXT
phi4_generalist_18_20250802_130443,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_generalist2_18_20250802_130443,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_normative_18_20250802_130443,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_normative2_18_20250802_130443,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_subject_matter_18_20250802_130443,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_subject_matter2_18_20250802_130443,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,18.0,20250802_130443,llm,CONTEXT
phi4_generalist_19_20250802_130724,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_generalist2_19_20250802_130724,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_normative_19_20250802_130724,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_normative2_19_20250802_130724,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_subject_matter_19_20250802_130724,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_subject_matter2_19_20250802_130724,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,19.0,20250802_130724,llm,CONTEXT
phi4_generalist_20_20250802_131012,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
phi4_generalist2_20_20250802_131012,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
phi4_normative_20_20250802_131012,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
phi4_normative2_20_20250802_131012,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
phi4_subject_matter_20_20250802_131012,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
phi4_subject_matter2_20_20250802_131012,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,20.0,20250802_131012,llm,CONTEXT
