row_id,source,condition,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp
gemma3-12b_generalist_00_20250628_155547,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,0.0,20250628_155547
gemma3-12b_generalist_01_20250628_155704,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,1.0,20250628_155704
gemma3-12b_generalist_02_20250628_155820,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,2.0,20250628_155820
gemma3-12b_generalist_03_20250628_155936,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,3.0,20250628_155936
gemma3-12b_generalist_04_20250628_160048,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,3,Important,4.0,20250628_160048
gemma3-12b_generalist_05_20250628_160202,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,3,Important,5.0,20250628_160202
gemma3-12b_generalist_06_20250628_160316,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,6.0,20250628_160316
gemma3-12b_generalist_07_20250628_160429,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,7.0,20250628_160429
gemma3-12b_generalist_08_20250628_160542,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,8.0,20250628_160542
gemma3-12b_generalist_09_20250628_160655,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,9.0,20250628_160655
gemma3-12b_generalist_10_20250628_160835,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,10.0,20250628_160835
gemma3-12b_generalist_11_20250628_160947,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,11.0,20250628_160947
gemma3-12b_generalist_12_20250628_161104,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,12.0,20250628_161104
gemma3-12b_generalist_13_20250628_161228,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,13.0,20250628_161228
gemma3-12b_generalist_14_20250628_161424,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,14.0,20250628_161424
gemma3-12b_generalist_15_20250628_161542,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,15.0,20250628_161542
gemma3-12b_generalist_16_20250628_161705,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,3,Important,16.0,20250628_161705
gemma3-12b_generalist_17_20250628_161818,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,17.0,20250628_161818
gemma3-12b_generalist_18_20250628_161932,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,18.0,20250628_161932
gemma3-12b_generalist_19_20250628_162046,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,19.0,20250628_162046
gemma3-12b_generalist_20_20250628_162201,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,20.0,20250628_162201
gemma3-12b_generalist_21_20250628_162313,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,21.0,20250628_162313
gemma3-12b_generalist_22_20250628_163221,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,22.0,20250628_163221
gemma3-12b_generalist_23_20250628_163334,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,23.0,20250628_163334
gemma3-12b_generalist_24_20250628_163452,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,24.0,20250628_163452
gemma3-12b_generalist_25_20250628_163613,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,25.0,20250628_163613
gemma3-12b_generalist_26_20250628_163723,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,26.0,20250628_163723
gemma3-12b_generalist_27_20250628_163839,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,27.0,20250628_163839
gemma3-12b_generalist_28_20250628_164003,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,28.0,20250628_164003
gemma3-12b_generalist_29_20250628_164113,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,29.0,20250628_164113
gemma3-12b_generalist_30_20250628_164231,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,30.0,20250628_164231
gemma3-12b_generalist_31_20250628_164341,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,31.0,20250628_164341
gemma3-12b_generalist_32_20250628_164455,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,32.0,20250628_164455
gemma3-12b_generalist_33_20250628_164604,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,33.0,20250628_164604
gemma3-12b_generalist_34_20250628_164714,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,34.0,20250628_164714
gemma3-12b_generalist_35_20250628_164829,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,35.0,20250628_164829
gemma3-12b_generalist_36_20250628_165954,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,36.0,20250628_165954
gemma3-12b_generalist_37_20250628_171740,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,37.0,20250628_171740
gemma3-12b_generalist_38_20250628_172654,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,38.0,20250628_172654
gemma3-12b_generalist_39_20250628_172904,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,39.0,20250628_172904
gemma3-12b_generalist_40_20250628_173702,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,40.0,20250628_173702
gemma3-12b_generalist_41_20250628_174046,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,41.0,20250628_174046
gemma3-12b_generalist_42_20250628_174844,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,42.0,20250628_174844
gemma3-12b_generalist_43_20250628_175041,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,43.0,20250628_175041
gemma3-12b_generalist_44_20250628_175449,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,44.0,20250628_175449
gemma3-12b_generalist_45_20250628_180221,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,45.0,20250628_180221
gemma3-12b_generalist_46_20250628_180437,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,46.0,20250628_180437
gemma3-12b_generalist_47_20250628_181609,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,47.0,20250628_181609
gemma3-12b_generalist_48_20250628_182211,llm,ZEROSHOT,gemma3-12b,gemma3-12b_generalist,generalist,DC connectors,4,Very important,48.0,20250628_182211
