base_family,comparison,jaccard,context_top5,comp_top5
phi4,pooled,1,"B1,B4,B10,B6,B8","B1,B4,B10,B8,B6"
phi4,word,1,"B1,B4,B10,B6,B8","B1,B4,B10,B8,B6"
phi4,example,0.6666666666666666,"B1,B4,B10,B6,B8","B1,B4,B10,B2,B6"
phi4,low-numeric,0.6666666666666666,"B1,B4,B10,B6,B8","B1,B4,B10,B6,B2"
phi4,high-numeric,1,"B1,B4,B10,B6,B8","B1,B4,B10,B6,B8"
llama,pooled,0.6666666666666666,"B4,B1,B3,B5,B2","B3,B1,B4,B2,B10"
llama,word,1,"B4,B1,B3,B5,B2","B3,B1,B2,B4,B5"
llama,example,0.6666666666666666,"B4,B1,B3,B5,B2","B4,B3,B1,B7,B2"
llama,low-numeric,1,"B4,B1,B3,B5,B2","B1,B3,B4,B2,B5"
llama,high-numeric,0.6666666666666666,"B4,B1,B3,B5,B2","B1,B3,B4,B2,B10"
mistral,pooled,1,"B1,B4,B5,B2,B3","B1,B4,B5,B2,B3"
mistral,word,0.6666666666666666,"B1,B4,B5,B2,B3","B1,B4,B5,B2,B6"
mistral,example,0.6666666666666666,"B1,B4,B5,B2,B3","B1,B4,B5,B2,B6"
mistral,low-numeric,1,"B1,B4,B5,B2,B3","B1,B2,B4,B5,B3"
mistral,high-numeric,1,"B1,B4,B5,B2,B3","B1,B4,B2,B5,B3"
gemma3,pooled,1,"B1,B4,B11,B7,B8","B1,B4,B8,B11,B7"
gemma3,word,0.6666666666666666,"B1,B4,B11,B7,B8","B1,B8,B4,B11,B10"
gemma3,example,1,"B1,B4,B11,B7,B8","B1,B4,B11,B8,B7"
gemma3,low-numeric,1,"B1,B4,B11,B7,B8","B1,B4,B11,B8,B7"
gemma3,high-numeric,1,"B1,B4,B11,B7,B8","B1,B4,B8,B11,B7"
