x_disp,rating,prop
gemma3-12b-Anchor,1,0
gemma3-12b-Anchor,2,0
gemma3-12b-Anchor,3,1
gemma3-12b-Anchor,4,0
gemma3-12b-Context,1,0
gemma3-12b-Context,2,0
gemma3-12b-Context,3,1
gemma3-12b-Context,4,0
llama-pro-Anchor,1,0.004166666666666667
llama-pro-Anchor,2,0.04583333333333333
llama-pro-Anchor,3,0.5625
llama-pro-Anchor,4,0.3875
llama-pro-Context,1,0.013333333333333334
llama-pro-Context,2,0.1
llama-pro-Context,3,0.6466666666666666
llama-pro-Context,4,0.24
mistral-Anchor,1,0
mistral-Anchor,2,0
mistral-Anchor,3,0.9958333333333333
mistral-Anchor,4,0.004166666666666667
mistral-Context,1,0
mistral-Context,2,0
mistral-Context,3,1
mistral-Context,4,0
phi4-Anchor,1,0
phi4-Anchor,2,0
phi4-Anchor,3,1
phi4-Anchor,4,0
phi4-Context,1,0
phi4-Context,2,0
phi4-Context,3,1
phi4-Context,4,0
