base_model,scenario,n_obs,n_pos_levels,min_cell
gemma3-12b,NEU,300,1,0
gemma3-12b,BIAS_WORD,60,1,0
gemma3-12b,BIAS_EXAMPLE,60,1,0
gemma3-12b,BIAS_NUM_LOW,60,1,0
gemma3-12b,BIAS_NUM_HIGH,60,1,0
llama-pro,NEU,300,4,0
llama-pro,BIAS_WORD,60,3,0
llama-pro,BIAS_EXAMPLE,60,4,0
llama-pro,BIAS_NUM_LOW,60,3,0
llama-pro,BIAS_NUM_HIGH,60,3,0
mistral,NEU,300,1,0
mistral,BIAS_WORD,60,2,0
mistral,BIAS_EXAMPLE,60,1,0
mistral,BIAS_NUM_LOW,60,1,0
mistral,BIAS_NUM_HIGH,60,1,0
phi4,NEU,300,1,0
phi4,BIAS_WORD,60,1,0
phi4,BIAS_EXAMPLE,60,1,0
phi4,BIAS_NUM_LOW,60,1,0
phi4,BIAS_NUM_HIGH,60,1,0
