contrast,base_model,estimate,SE,df,z.ratio,p.value,scenario,OR,CI_low,CI_high,stat,p,p_fdr,nonestim,drop_reason
BIAS_WORD - NEU,gemma3,NA,NA,NA,NA,NA,BIAS_WORD,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_EXAMPLE - NEU,gemma3,NA,NA,NA,NA,NA,BIAS_EXAMPLE,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_LOW - NEU,gemma3,NA,NA,NA,NA,NA,BIAS_NUM_LOW,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_HIGH - NEU,gemma3,NA,NA,NA,NA,NA,BIAS_NUM_HIGH,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_WORD - NEU,gemma3-12b,NA,NA,NA,NA,NA,BIAS_WORD,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_EXAMPLE - NEU,gemma3-12b,NA,NA,NA,NA,NA,BIAS_EXAMPLE,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_LOW - NEU,gemma3-12b,NA,NA,NA,NA,NA,BIAS_NUM_LOW,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_HIGH - NEU,gemma3-12b,NA,NA,NA,NA,NA,BIAS_NUM_HIGH,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_WORD - NEU,llama,NA,NA,NA,NA,NA,BIAS_WORD,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_EXAMPLE - NEU,llama,NA,NA,NA,NA,NA,BIAS_EXAMPLE,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_LOW - NEU,llama,NA,NA,NA,NA,NA,BIAS_NUM_LOW,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_HIGH - NEU,llama,NA,NA,NA,NA,NA,BIAS_NUM_HIGH,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_WORD - NEU,llama-pro,NA,NA,NA,NA,NA,BIAS_WORD,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_EXAMPLE - NEU,llama-pro,NA,NA,NA,NA,NA,BIAS_EXAMPLE,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_LOW - NEU,llama-pro,NA,NA,NA,NA,NA,BIAS_NUM_LOW,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_NUM_HIGH - NEU,llama-pro,NA,NA,NA,NA,NA,BIAS_NUM_HIGH,NA,NA,NA,NA,NA,NA,TRUE,non-estimable OR/SE/CI
BIAS_WORD - NEU,mistral,0.3070520793785264,0.6094985667456363,Inf,0.5037781811662065,0.9301106040189588,BIAS_WORD,1.3594117635482794,0.4116568720579819,4.4891764678548896,0.5037781811662065,0.9301106040189588,1,FALSE,ok
BIAS_EXAMPLE - NEU,mistral,5.783793008542915e-6,0.617190360711754,Inf,9.371165489157916e-6,0.9999999999996081,BIAS_EXAMPLE,1.0000057838097347,0.2982905333787964,3.3524750394375284,9.371165489157916e-6,0.9999999999996081,1,FALSE,ok
BIAS_NUM_LOW - NEU,mistral,6.066660864172084e-6,0.6171892470547039,Inf,9.82949863939281e-6,0.999999999999561,BIAS_NUM_LOW,1.0000060666792665,0.29829126885548335,3.3524686700763766,9.82949863939281e-6,0.999999999999561,1,FALSE,ok
BIAS_NUM_HIGH - NEU,mistral,-3.125682812123298e-5,0.6171895254917265,Inf,-5.0643808474115105e-5,0.9999999999771357,BIAS_NUM_HIGH,0.9999687436603684,0.2982799730100274,3.3523453760808803,-5.0643808474115105e-5,0.9999999999771357,1,FALSE,ok
BIAS_WORD - NEU,phi4,-1.5275509673847982e-5,0.6171912145250311,Inf,-2.47500439318526e-5,0.9999999999958239,BIAS_WORD,0.9999847246069962,0.2982837524837823,3.3524100495607727,-2.47500439318526e-5,0.9999999999958239,1,FALSE,ok
BIAS_EXAMPLE - NEU,phi4,4.623335667337543e-6,0.6171906576981459,Inf,7.49093592015891e-6,0.9999999999998034,BIAS_EXAMPLE,1.0000046233463549,0.29829001359288077,3.3524731004871713,7.49093592015891e-6,0.9999999999998034,1,FALSE,ok
BIAS_NUM_LOW - NEU,phi4,8.263122317369035e-6,0.6171901008474374,Inf,1.3388293665149997e-5,0.9999999999990385,BIAS_NUM_LOW,1.000008263156457,0.29829142487011906,3.3524816438039315,1.3388293665149997e-5,0.9999999999990385,1,FALSE,ok
BIAS_NUM_HIGH - NEU,phi4,2.3026997272825714e-6,0.6171836988654603,Inf,3.7309794985115705e-6,1,BIAS_NUM_HIGH,1.0000023027023786,0.2982933898600429,3.3524195956177727,3.7309794985115705e-6,1,1,FALSE,ok
