source,scenario,base_model,n
HUMAN,NA,human,22
LLM,NEU,gemma3-12b,300
LLM,NEU,llama-pro,300
LLM,NEU,mistral,300
LLM,NEU,phi4,300
LLM,BIAS_WORD,gemma3,60
LLM,BIAS_WORD,llama,60
LLM,BIAS_WORD,mistral,60
LLM,BIAS_WORD,phi4,60
LLM,BIAS_EXAMPLE,gemma3,60
LLM,BIAS_EXAMPLE,llama,60
LLM,BIAS_EXAMPLE,mistral,60
LLM,BIAS_EXAMPLE,phi4,60
LLM,BIAS_NUM_LOW,gemma3,60
LLM,BIAS_NUM_LOW,llama,60
LLM,BIAS_NUM_LOW,mistral,60
LLM,BIAS_NUM_LOW,phi4,60
LLM,BIAS_NUM_HIGH,gemma3,60
LLM,BIAS_NUM_HIGH,llama,60
LLM,BIAS_NUM_HIGH,mistral,60
LLM,BIAS_NUM_HIGH,phi4,60
