row_id,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp,source,condition_raw,condition5,bias_type,anchor_level,pair_id
gemma3_generalist_00_20250811_151810,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,0,2025-08-11T15:18:10Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.0
gemma3_generalist_01_20250811_152649,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,1,2025-08-11T15:26:49Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.1
gemma3_generalist_02_20250811_153142,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,2,2025-08-11T15:31:42Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.2
gemma3_generalist_03_20250811_154223,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,3,2025-08-11T15:42:23Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.3
gemma3_generalist_04_20250811_155129,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,4,2025-08-11T15:51:29Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.4
gemma3_generalist_05_20250811_160928,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,5,2025-08-11T16:09:28Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.5
gemma3_generalist_06_20250811_163236,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,6,2025-08-11T16:32:36Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.6
gemma3_generalist_07_20250811_163610,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,7,2025-08-11T16:36:10Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.7
gemma3_generalist_08_20250811_163945,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,8,2025-08-11T16:39:45Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.8
gemma3_generalist_09_20250811_164356,gemma3,gemma3_generalist,generalist,DC connectors,3,Important,9,2025-08-11T16:43:56Z,llm,NEU,CONTEXT,NA,NA,gemma3.gemma3_generalist.DC connectors.9
