base_model,arm,OR,OR_l95,OR_u95
gemma3,ANCHOR_WORD,1.7207778731452266,1.1862330307758373,2.4962013465175246
llama,ANCHOR_WORD,1.3929080152974136,1.1024258512923764,1.7599303724647666
mistral,ANCHOR_WORD,0.36637337817575305,0.27943154587875946,0.4803661369505976
phi4,ANCHOR_WORD,10.680774840735046,4.115168668691512,27.721573617722967
gemma3,ANCHOR_EXAMPLE,1.0362713507113688,0.7263081778405377,1.4785160694430899
llama,ANCHOR_EXAMPLE,0.7328430718833512,0.5792600018719801,0.9271466461896671
mistral,ANCHOR_EXAMPLE,0.7435458795618062,0.5672128193884798,0.9746967207288911
phi4,ANCHOR_EXAMPLE,1.0611922571329728,0.6682678282431442,1.6851462228243614
gemma3,ANCHOR_LOW_NUM,0.601869270021927,0.4297743061115601,0.8428763959255766
llama,ANCHOR_LOW_NUM,1.2017992039790166,0.9514818122887592,1.5179705045652203
mistral,ANCHOR_LOW_NUM,0.118054357516255,0.08876895886869007,0.15700118043731442
phi4,ANCHOR_LOW_NUM,0.36943721065650126,0.25291776908279756,0.5396372627855001
gemma3,ANCHOR_HIGH_NUM,0.5199496662631975,0.37235094147498043,0.7260560544745556
llama,ANCHOR_HIGH_NUM,1.8569162556697212,1.4673774608176844,2.349864348229126
mistral,ANCHOR_HIGH_NUM,0.583517212937548,0.44540198870003234,0.7644607487904982
phi4,ANCHOR_HIGH_NUM,1.3217352522183743,0.8151116346594709,2.143245173633924
