base_model,scenario,rating,n,prop
gemma3-12b,CONTEXT,2,0,0
gemma3-12b,CONTEXT,3,631,0.19121212121212122
gemma3-12b,CONTEXT,4,2669,0.8087878787878788
gemma3-12b,ANCHOR_WORD,2,0,0
gemma3-12b,ANCHOR_WORD,3,111,0.16818181818181818
gemma3-12b,ANCHOR_WORD,4,549,0.8318181818181818
gemma3-12b,ANCHOR_EXAMPLE,2,0,0
gemma3-12b,ANCHOR_EXAMPLE,3,131,0.1984848484848485
gemma3-12b,ANCHOR_EXAMPLE,4,529,0.8015151515151515
gemma3-12b,ANCHOR_LOW_NUM,2,0,0
gemma3-12b,ANCHOR_LOW_NUM,3,155,0.23484848484848486
gemma3-12b,ANCHOR_LOW_NUM,4,505,0.7651515151515151
gemma3-12b,ANCHOR_HIGH_NUM,2,0,0
gemma3-12b,ANCHOR_HIGH_NUM,3,162,0.24545454545454545
gemma3-12b,ANCHOR_HIGH_NUM,4,498,0.7545454545454545
llama-pro,CONTEXT,2,0,0
llama-pro,CONTEXT,3,1722,0.5218181818181818
llama-pro,CONTEXT,4,1578,0.4781818181818182
llama-pro,ANCHOR_WORD,2,0,0
llama-pro,ANCHOR_WORD,3,313,0.47424242424242424
llama-pro,ANCHOR_WORD,4,347,0.5257575757575758
llama-pro,ANCHOR_EXAMPLE,2,0,0
llama-pro,ANCHOR_EXAMPLE,3,378,0.5727272727272728
llama-pro,ANCHOR_EXAMPLE,4,282,0.42727272727272725
llama-pro,ANCHOR_LOW_NUM,2,0,0
llama-pro,ANCHOR_LOW_NUM,3,328,0.49696969696969695
llama-pro,ANCHOR_LOW_NUM,4,332,0.503030303030303
llama-pro,ANCHOR_HIGH_NUM,2,0,0
llama-pro,ANCHOR_HIGH_NUM,3,284,0.4303030303030303
llama-pro,ANCHOR_HIGH_NUM,4,376,0.5696969696969697
mistral,CONTEXT,2,0,0
mistral,CONTEXT,3,1115,0.3378787878787879
mistral,CONTEXT,4,2185,0.6621212121212121
mistral,ANCHOR_WORD,2,0,0
mistral,ANCHOR_WORD,3,299,0.453030303030303
mistral,ANCHOR_WORD,4,361,0.546969696969697
mistral,ANCHOR_EXAMPLE,2,0,0
mistral,ANCHOR_EXAMPLE,3,246,0.37272727272727274
mistral,ANCHOR_EXAMPLE,4,414,0.6272727272727273
mistral,ANCHOR_LOW_NUM,2,0,0
mistral,ANCHOR_LOW_NUM,3,384,0.5818181818181818
mistral,ANCHOR_LOW_NUM,4,276,0.41818181818181815
mistral,ANCHOR_HIGH_NUM,2,0,0
mistral,ANCHOR_HIGH_NUM,3,264,0.4
mistral,ANCHOR_HIGH_NUM,4,396,0.6
phi4,CONTEXT,2,0,0
phi4,CONTEXT,3,192,0.05818181818181818
phi4,CONTEXT,4,3108,0.9418181818181818
phi4,ANCHOR_WORD,2,0,0
phi4,ANCHOR_WORD,3,5,0.007575757575757576
phi4,ANCHOR_WORD,4,655,0.9924242424242424
phi4,ANCHOR_EXAMPLE,2,0,0
phi4,ANCHOR_EXAMPLE,3,34,0.051515151515151514
phi4,ANCHOR_EXAMPLE,4,626,0.9484848484848485
phi4,ANCHOR_LOW_NUM,2,0,0
phi4,ANCHOR_LOW_NUM,3,68,0.10303030303030303
phi4,ANCHOR_LOW_NUM,4,592,0.896969696969697
phi4,ANCHOR_HIGH_NUM,2,0,0
phi4,ANCHOR_HIGH_NUM,3,29,0.04393939393939394
phi4,ANCHOR_HIGH_NUM,4,631,0.956060606060606
