source,row_id,base_model,variant_id,model,dc_solution,rating,label,condition,bias_type,anchor_level,iteration,timestamp
llm,phi4_generalist_00_20250802_002700,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_generalist2_00_20250802_002700,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_normative_00_20250802_002700,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_normative2_00_20250802_002700,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_subject_matter_00_20250802_002700,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_subject_matter2_00_20250802_002700,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,NEU,,,0.0,20250802_002700
llm,phi4_generalist_01_20250802_003059,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_generalist2_01_20250802_003059,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_normative_01_20250802_003059,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_normative2_01_20250802_003059,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_subject_matter_01_20250802_003059,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_subject_matter2_01_20250802_003059,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,NEU,,,1.0,20250802_003059
llm,phi4_generalist_02_20250802_003302,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_generalist2_02_20250802_003302,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_normative_02_20250802_003302,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_normative2_02_20250802_003302,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_subject_matter_02_20250802_003302,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_subject_matter2_02_20250802_003302,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,NEU,,,2.0,20250802_003302
llm,phi4_generalist_03_20250802_003634,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_generalist2_03_20250802_003634,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_normative_03_20250802_003634,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_normative2_03_20250802_003634,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_subject_matter_03_20250802_003634,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_subject_matter2_03_20250802_003634,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,NEU,,,3.0,20250802_003634
llm,phi4_generalist_04_20250802_005601,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,NEU,,,4.0,20250802_005601
llm,phi4_generalist2_04_20250802_005601,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,NEU,,,4.0,20250802_005601
llm,phi4_normative_04_20250802_005601,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,NEU,,,4.0,20250802_005601
llm,phi4_normative2_04_20250802_005601,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,NEU,,,4.0,20250802_005601
llm,phi4_subject_matter_04_20250802_005601,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,NEU,,,4.0,20250802_005601
