base_model,variant_id,model,rows,n_unique_barriers,dupes
gemma3,gemma3_generalist,generalist,200,6,194
gemma3,gemma3_generalist2,generalist2,200,7,193
gemma3,gemma3_normative,normative,200,8,192
gemma3,gemma3_normative2,normative2,200,7,193
gemma3,gemma3_subject_matter,subject_matter,200,6,194
gemma3,gemma3_subject_matter2,subject_matter2,200,7,193
llama,llama_generalist,generalist,224,11,213
llama,llama_generalist2,generalist2,234,11,223
llama,llama_normative,normative,218,11,207
llama,llama_normative2,normative2,236,11,225
llama,llama_subject_matter,subject_matter,261,11,250
llama,llama_subject_matter2,subject_matter2,279,11,268
mistral,mistral_generalist,generalist,200,8,192
mistral,mistral_generalist2,generalist2,200,9,191
mistral,mistral_normative,normative,200,8,192
mistral,mistral_normative2,normative2,200,6,194
mistral,mistral_subject_matter,subject_matter,200,9,191
mistral,mistral_subject_matter2,subject_matter2,200,7,193
phi4,phi4_generalist,generalist,200,6,194
phi4,phi4_generalist2,generalist2,200,7,193
phi4,phi4_normative,normative,200,6,194
phi4,phi4_normative2,normative2,200,7,193
phi4,phi4_subject_matter,subject_matter,200,7,193
phi4,phi4_subject_matter2,subject_matter2,200,7,193
