row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,barrier_list,bias_type,anchor_level
BIAS_WORD_phi4_generalist_00_b1_inverse_order_20250830_221137,phi4,phi4_generalist,generalist,1,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b2_inverse_order_20250830_221137,phi4,phi4_generalist,generalist,2,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b3_inverse_order_20250830_221137,phi4,phi4_generalist,generalist,3,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b4_inverse_order_20250830_221137,phi4,phi4_generalist,generalist,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b5_inverse_order_20250830_221137,phi4,phi4_generalist,generalist,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b1_inverse_order_20250830_221137,phi4,phi4_generalist2,generalist2,1,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b2_inverse_order_20250830_221137,phi4,phi4_generalist2,generalist2,2,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b3_inverse_order_20250830_221137,phi4,phi4_generalist2,generalist2,3,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b4_inverse_order_20250830_221137,phi4,phi4_generalist2,generalist2,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b6_inverse_order_20250830_221137,phi4,phi4_generalist2,generalist2,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b1_inverse_order_20250830_221137,phi4,phi4_normative,normative,1,high costs of DC solutions,high costs of DC solutions,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b2_inverse_order_20250830_221137,phi4,phi4_normative,normative,2,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,FALSE,1,0,20250830_221137,no,INVERSE_ORDER,BIAS_WORD,
