row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp,barrier_list
ANCHOR_EXAMPLE_gemma3_generalist_00_b1_20250815_001614,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0.0,20250815_001614,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_00_b2_20250815_001614,gemma3,gemma3_generalist,generalist,3,lack of use-cases in which DC is advantageous,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0.0,20250815_001614,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_00_b3_20250815_001614,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0.0,20250815_001614,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_00_b4_20250815_001614,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0.0,20250815_001614,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_00_b5_20250815_001614,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0.0,20250815_001614,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_01_b1_20250815_002012,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1.0,20250815_002012,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_01_b2_20250815_002012,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1.0,20250815_002012,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_01_b3_20250815_002012,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1.0,20250815_002012,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_01_b4_20250815_002012,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1.0,20250815_002012,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_01_b5_20250815_002012,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1.0,20250815_002012,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_02_b1_20250815_002504,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,2.0,20250815_002504,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_02_b2_20250815_002504,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,2.0,20250815_002504,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_02_b3_20250815_002504,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,2.0,20250815_002504,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_02_b4_20250815_002504,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,2.0,20250815_002504,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_02_b5_20250815_002504,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,2.0,20250815_002504,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_03_b1_20250815_002804,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,3.0,20250815_002804,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_03_b2_20250815_002804,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,3.0,20250815_002804,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_03_b3_20250815_002804,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,3.0,20250815_002804,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_03_b4_20250815_002804,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,3.0,20250815_002804,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_03_b5_20250815_002804,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,3.0,20250815_002804,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_04_b1_20250815_003312,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_04_b2_20250815_003312,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_04_b3_20250815_003312,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_04_b4_20250815_003312,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_04_b5_20250815_003312,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_05_b1_20250815_004358,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_05_b2_20250815_004358,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_05_b3_20250815_004358,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_05_b4_20250815_004358,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_05_b5_20250815_004358,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_06_b1_20250815_004816,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_06_b4_20250815_004816,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_06_b2_20250815_004816,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_06_b3_20250815_004816,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_06_b5_20250815_004816,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_07_b1_20250815_005114,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_07_b2_20250815_005114,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_07_b3_20250815_005114,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_07_b4_20250815_005114,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_07_b5_20250815_005114,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_08_b1_20250815_005417,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_08_b2_20250815_005417,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_08_b3_20250815_005417,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_08_b4_20250815_005417,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_08_b5_20250815_005417,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_09_b1_20250815_005739,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_09_b4_20250815_005739,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_09_b7_20250815_005739,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_09_b8_20250815_005739,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,ORDERED_LIST
ANCHOR_EXAMPLE_gemma3_generalist_09_b11_20250815_005739,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_00_b1_20250815_013723,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_00_b2_20250815_013723,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_00_b3_20250815_013723,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_00_b4_20250815_013723,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_00_b5_20250815_013723,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_01_b1_20250815_014214,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_01_b4_20250815_014214,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_01_b7_20250815_014214,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_01_b8_20250815_014214,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_01_b11_20250815_014214,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,ORDERED_LIST
ANCHOR_HIGH_NUM_gemma3_generalist_02_b1_20250815_014539,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,ORDERED_LIST
