base_model,variant_id,model,total_count,n_selected_unique,selected_set,top5_selected,jaccard_top5_vs_first5,canon_first5
gemma3,gemma3_generalist,generalist,200,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 11, 4, 8, 6]",0.25,"[1, 2, 3, 4, 5]"
gemma3,gemma3_generalist2,generalist2,200,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 11, 4, 8, 6]",0.25,"[1, 2, 3, 4, 5]"
gemma3,gemma3_normative,normative,200,9,"[1, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 8, 11, 7]",0.25,"[1, 2, 3, 4, 5]"
gemma3,gemma3_normative2,normative2,200,8,"[1, 4, 6, 7, 8, 9, 10, 11]","[1, 8, 4, 11, 7]",0.25,"[1, 2, 3, 4, 5]"
gemma3,gemma3_subject_matter,subject_matter,200,9,"[1, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 8, 11, 7]",0.25,"[1, 2, 3, 4, 5]"
gemma3,gemma3_subject_matter2,subject_matter2,200,9,"[1, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 7, 11, 8]",0.25,"[1, 2, 3, 4, 5]"
llama,llama_generalist,generalist,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 3, 4, 2, 5]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_generalist2,generalist2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 3, 2, 4, 10]",0.6666666666666666,"[1, 2, 3, 4, 5]"
llama,llama_normative,normative,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[4, 3, 1, 2, 7]",0.6666666666666666,"[1, 2, 3, 4, 5]"
llama,llama_normative2,normative2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 1, 4, 2, 6]",0.6666666666666666,"[1, 2, 3, 4, 5]"
llama,llama_subject_matter,subject_matter,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 1, 4, 2, 5]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_subject_matter2,subject_matter2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 3, 4, 2, 10]",0.6666666666666666,"[1, 2, 3, 4, 5]"
mistral,mistral_generalist,generalist,200,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]","[1, 4, 2, 5, 3]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_generalist2,generalist2,200,9,"[1, 2, 3, 4, 5, 6, 9, 10, 11]","[1, 4, 5, 2, 6]",0.6666666666666666,"[1, 2, 3, 4, 5]"
mistral,mistral_normative,normative,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 5, 2, 3]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_normative2,normative2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 5, 2, 6]",0.6666666666666666,"[1, 2, 3, 4, 5]"
mistral,mistral_subject_matter,subject_matter,200,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]","[1, 2, 4, 5, 3]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_subject_matter2,subject_matter2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 5, 4, 2, 10]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_generalist,generalist,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 10, 6, 8]",0.25,"[1, 2, 3, 4, 5]"
phi4,phi4_generalist2,generalist2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 10, 8, 6]",0.25,"[1, 2, 3, 4, 5]"
phi4,phi4_normative,normative,200,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11]","[1, 4, 10, 6, 8]",0.25,"[1, 2, 3, 4, 5]"
phi4,phi4_normative2,normative2,200,10,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]","[1, 4, 10, 6, 8]",0.25,"[1, 2, 3, 4, 5]"
phi4,phi4_subject_matter,subject_matter,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 10, 8, 2]",0.42857142857142855,"[1, 2, 3, 4, 5]"
phi4,phi4_subject_matter2,subject_matter2,200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 10, 8, 2]",0.42857142857142855,"[1, 2, 3, 4, 5]"
