base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,40.0,0.0,2.0,32.0,8.0,20.0,10.0,29.0,1.0,18.0,40.0,200
gemma3,gemma3_generalist2,generalist2,40.0,0.0,3.0,35.0,8.0,18.0,9.0,33.0,1.0,17.0,36.0,200
gemma3,gemma3_normative,normative,40.0,0.0,0.0,39.0,4.0,12.0,20.0,39.0,5.0,15.0,26.0,200
gemma3,gemma3_normative2,normative2,40.0,0.0,0.0,39.0,0.0,3.0,26.0,40.0,8.0,10.0,34.0,200
gemma3,gemma3_subject_matter,subject_matter,40.0,0.0,0.0,39.0,6.0,1.0,21.0,33.0,12.0,19.0,29.0,200
gemma3,gemma3_subject_matter2,subject_matter2,40.0,0.0,0.0,34.0,12.0,5.0,33.0,26.0,11.0,12.0,27.0,200
llama,llama_generalist,generalist,35.0,28.0,35.0,31.0,18.0,11.0,11.0,3.0,2.0,12.0,14.0,200
llama,llama_generalist2,generalist2,38.0,30.0,37.0,29.0,15.0,7.0,6.0,3.0,3.0,20.0,12.0,200
llama,llama_normative,normative,28.0,23.0,32.0,33.0,11.0,16.0,18.0,11.0,3.0,15.0,10.0,200
llama,llama_normative2,normative2,35.0,25.0,36.0,33.0,15.0,16.0,11.0,4.0,2.0,14.0,9.0,200
llama,llama_subject_matter,subject_matter,37.0,19.0,39.0,37.0,18.0,16.0,9.0,7.0,1.0,8.0,9.0,200
llama,llama_subject_matter2,subject_matter2,38.0,21.0,37.0,28.0,7.0,10.0,16.0,6.0,1.0,21.0,15.0,200
mistral,mistral_generalist,generalist,40.0,39.0,22.0,40.0,35.0,11.0,1.0,0.0,2.0,5.0,5.0,200
mistral,mistral_generalist2,generalist2,40.0,36.0,13.0,39.0,37.0,19.0,0.0,0.0,3.0,4.0,9.0,200
mistral,mistral_normative,normative,40.0,34.0,12.0,38.0,36.0,12.0,5.0,3.0,3.0,9.0,8.0,200
mistral,mistral_normative2,normative2,40.0,33.0,13.0,37.0,35.0,17.0,4.0,2.0,2.0,11.0,6.0,200
mistral,mistral_subject_matter,subject_matter,40.0,39.0,16.0,38.0,34.0,4.0,2.0,0.0,5.0,13.0,9.0,200
mistral,mistral_subject_matter2,subject_matter2,40.0,31.0,9.0,35.0,38.0,7.0,4.0,4.0,6.0,17.0,9.0,200
phi4,phi4_generalist,generalist,40.0,17.0,9.0,40.0,8.0,21.0,1.0,20.0,5.0,36.0,3.0,200
phi4,phi4_generalist2,generalist2,40.0,17.0,7.0,40.0,7.0,18.0,1.0,24.0,4.0,37.0,5.0,200
phi4,phi4_normative,normative,40.0,13.0,5.0,40.0,7.0,27.0,0.0,24.0,0.0,40.0,4.0,200
phi4,phi4_normative2,normative2,40.0,9.0,1.0,40.0,10.0,32.0,0.0,22.0,3.0,40.0,3.0,200
phi4,phi4_subject_matter,subject_matter,40.0,19.0,8.0,40.0,6.0,18.0,1.0,26.0,1.0,38.0,3.0,200
phi4,phi4_subject_matter2,subject_matter2,40.0,21.0,5.0,40.0,8.0,18.0,2.0,22.0,6.0,36.0,2.0,200
