base_model,variant_id,model,total_count,n_selected_unique,selected_set,top5_selected,jaccard_top5_vs_first5,canon_first5
gemma3,gemma3_generalist,generalist,200,6,"[1, 2, 3, 4, 6, 8]","[1, 2, 4, 8, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
gemma3,gemma3_generalist2,generalist2,200,7,"[1, 2, 3, 4, 6, 7, 8]","[1, 2, 4, 8, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
gemma3,gemma3_normative,normative,200,8,"[1, 2, 3, 4, 6, 7, 8, 9]","[1, 2, 8, 4, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
gemma3,gemma3_normative2,normative2,200,7,"[1, 2, 3, 4, 6, 7, 8]","[1, 2, 4, 8, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
gemma3,gemma3_subject_matter,subject_matter,200,6,"[1, 2, 3, 4, 7, 8]","[1, 2, 4, 8, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
gemma3,gemma3_subject_matter2,subject_matter2,200,7,"[1, 2, 3, 4, 6, 7, 8]","[1, 2, 4, 8, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
llama,llama_generalist,generalist,199,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 3, 2, 1, 4]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_generalist2,generalist2,200,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11]","[5, 3, 2, 4, 1]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_normative,normative,199,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 3, 2, 4, 1]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_normative2,normative2,195,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 5, 2, 4, 1]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_subject_matter,subject_matter,200,8,"[1, 2, 3, 4, 5, 6, 9, 10]","[2, 3, 5, 4, 1]",1.0,"[1, 2, 3, 4, 5]"
llama,llama_subject_matter2,subject_matter2,199,10,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]","[5, 2, 3, 1, 4]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_generalist,generalist,200,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 5, 2, 3, 4]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_generalist2,generalist2,200,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","[1, 2, 3, 5, 4]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_normative,normative,200,8,"[1, 2, 3, 4, 5, 6, 8, 10]","[1, 2, 3, 5, 4]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_normative2,normative2,200,6,"[1, 2, 3, 4, 5, 8]","[1, 2, 3, 4, 5]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_subject_matter,subject_matter,200,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","[1, 2, 3, 5, 4]",1.0,"[1, 2, 3, 4, 5]"
mistral,mistral_subject_matter2,subject_matter2,200,7,"[1, 2, 3, 4, 5, 8, 10]","[1, 2, 3, 5, 4]",1.0,"[1, 2, 3, 4, 5]"
phi4,phi4_generalist,generalist,200,6,"[1, 2, 3, 4, 6, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_generalist2,generalist2,200,7,"[1, 2, 3, 4, 6, 7, 8]","[1, 2, 6, 4, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_normative,normative,200,6,"[1, 2, 3, 4, 6, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_normative2,normative2,200,7,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_subject_matter,subject_matter,200,7,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
phi4,phi4_subject_matter2,subject_matter2,200,7,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
