base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,40.0,40.0,37.0,40.0,0.0,3.0,0.0,40.0,0.0,0.0,0.0,200
gemma3,gemma3_generalist2,generalist2,40.0,40.0,34.0,40.0,0.0,4.0,2.0,40.0,0.0,0.0,0.0,200
gemma3,gemma3_normative,normative,40.0,40.0,36.0,39.0,0.0,3.0,1.0,40.0,1.0,0.0,0.0,200
gemma3,gemma3_normative2,normative2,40.0,40.0,38.0,40.0,0.0,1.0,1.0,40.0,0.0,0.0,0.0,200
gemma3,gemma3_subject_matter,subject_matter,40.0,40.0,39.0,40.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,200
gemma3,gemma3_subject_matter2,subject_matter2,40.0,40.0,37.0,40.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,200
llama,llama_generalist,generalist,33.0,36.0,38.0,33.0,40.0,8.0,1.0,3.0,2.0,1.0,4.0,199
llama,llama_generalist2,generalist2,33.0,36.0,39.0,34.0,40.0,10.0,2.0,2.0,1.0,0.0,3.0,200
llama,llama_normative,normative,32.0,37.0,38.0,37.0,40.0,7.0,1.0,4.0,1.0,1.0,1.0,199
llama,llama_normative2,normative2,30.0,35.0,37.0,32.0,37.0,10.0,2.0,3.0,2.0,4.0,3.0,195
llama,llama_subject_matter,subject_matter,37.0,40.0,40.0,38.0,40.0,3.0,0.0,0.0,1.0,1.0,0.0,200
llama,llama_subject_matter2,subject_matter2,37.0,39.0,38.0,37.0,40.0,1.0,0.0,1.0,2.0,2.0,2.0,199
mistral,mistral_generalist,generalist,40.0,39.0,39.0,33.0,40.0,2.0,4.0,3.0,0.0,0.0,0.0,200
mistral,mistral_generalist2,generalist2,40.0,40.0,40.0,28.0,40.0,5.0,2.0,3.0,0.0,2.0,0.0,200
mistral,mistral_normative,normative,40.0,40.0,40.0,36.0,40.0,1.0,0.0,1.0,0.0,2.0,0.0,200
mistral,mistral_normative2,normative2,40.0,40.0,40.0,39.0,39.0,0.0,0.0,2.0,0.0,0.0,0.0,200
mistral,mistral_subject_matter,subject_matter,40.0,40.0,40.0,28.0,40.0,3.0,2.0,6.0,0.0,1.0,0.0,200
mistral,mistral_subject_matter2,subject_matter2,40.0,40.0,40.0,28.0,40.0,0.0,0.0,7.0,0.0,5.0,0.0,200
phi4,phi4_generalist,generalist,40.0,40.0,34.0,39.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,200
phi4,phi4_generalist2,generalist2,40.0,40.0,33.0,37.0,0.0,39.0,1.0,10.0,0.0,0.0,0.0,200
phi4,phi4_normative,normative,40.0,40.0,28.0,38.0,0.0,38.0,0.0,16.0,0.0,0.0,0.0,200
phi4,phi4_normative2,normative2,40.0,40.0,30.0,38.0,2.0,35.0,0.0,15.0,0.0,0.0,0.0,200
phi4,phi4_subject_matter,subject_matter,40.0,40.0,26.0,38.0,7.0,34.0,0.0,15.0,0.0,0.0,0.0,200
phi4,phi4_subject_matter2,subject_matter2,40.0,40.0,30.0,40.0,4.0,34.0,0.0,12.0,0.0,0.0,0.0,200
