base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,0.2,0.2,0.185,0.2,0.0,0.015,0.0,0.2,0.0,0.0,0.0,200
gemma3,gemma3_generalist2,generalist2,0.2,0.2,0.17,0.2,0.0,0.02,0.01,0.2,0.0,0.0,0.0,200
gemma3,gemma3_normative,normative,0.2,0.2,0.18,0.195,0.0,0.015,0.005,0.2,0.005,0.0,0.0,200
gemma3,gemma3_normative2,normative2,0.2,0.2,0.19,0.2,0.0,0.005,0.005,0.2,0.0,0.0,0.0,200
gemma3,gemma3_subject_matter,subject_matter,0.2,0.2,0.195,0.2,0.0,0.0,0.005,0.2,0.0,0.0,0.0,200
gemma3,gemma3_subject_matter2,subject_matter2,0.2,0.2,0.185,0.2,0.0,0.005,0.01,0.2,0.0,0.0,0.0,200
llama,llama_generalist,generalist,0.1658291457286432,0.18090452261306533,0.19095477386934673,0.1658291457286432,0.20100502512562815,0.04020100502512563,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.005025125628140704,0.020100502512562814,199
llama,llama_generalist2,generalist2,0.165,0.18,0.195,0.17,0.2,0.05,0.01,0.01,0.005,0.0,0.015,200
llama,llama_normative,normative,0.16080402010050251,0.18592964824120603,0.19095477386934673,0.18592964824120603,0.20100502512562815,0.035175879396984924,0.005025125628140704,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.005025125628140704,199
llama,llama_normative2,normative2,0.15384615384615385,0.1794871794871795,0.18974358974358974,0.1641025641025641,0.18974358974358974,0.05128205128205128,0.010256410256410256,0.015384615384615385,0.010256410256410256,0.020512820512820513,0.015384615384615385,195
llama,llama_subject_matter,subject_matter,0.185,0.2,0.2,0.19,0.2,0.015,0.0,0.0,0.005,0.005,0.0,200
llama,llama_subject_matter2,subject_matter2,0.18592964824120603,0.19597989949748743,0.19095477386934673,0.18592964824120603,0.20100502512562815,0.005025125628140704,0.0,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.010050251256281407,199
mistral,mistral_generalist,generalist,0.2,0.195,0.195,0.165,0.2,0.01,0.02,0.015,0.0,0.0,0.0,200
mistral,mistral_generalist2,generalist2,0.2,0.2,0.2,0.14,0.2,0.025,0.01,0.015,0.0,0.01,0.0,200
mistral,mistral_normative,normative,0.2,0.2,0.2,0.18,0.2,0.005,0.0,0.005,0.0,0.01,0.0,200
mistral,mistral_normative2,normative2,0.2,0.2,0.2,0.195,0.195,0.0,0.0,0.01,0.0,0.0,0.0,200
mistral,mistral_subject_matter,subject_matter,0.2,0.2,0.2,0.14,0.2,0.015,0.01,0.03,0.0,0.005,0.0,200
mistral,mistral_subject_matter2,subject_matter2,0.2,0.2,0.2,0.14,0.2,0.0,0.0,0.035,0.0,0.025,0.0,200
phi4,phi4_generalist,generalist,0.2,0.2,0.17,0.195,0.0,0.18,0.0,0.055,0.0,0.0,0.0,200
phi4,phi4_generalist2,generalist2,0.2,0.2,0.165,0.185,0.0,0.195,0.005,0.05,0.0,0.0,0.0,200
phi4,phi4_normative,normative,0.2,0.2,0.14,0.19,0.0,0.19,0.0,0.08,0.0,0.0,0.0,200
phi4,phi4_normative2,normative2,0.2,0.2,0.15,0.19,0.01,0.175,0.0,0.075,0.0,0.0,0.0,200
phi4,phi4_subject_matter,subject_matter,0.2,0.2,0.13,0.19,0.035,0.17,0.0,0.075,0.0,0.0,0.0,200
phi4,phi4_subject_matter2,subject_matter2,0.2,0.2,0.15,0.2,0.02,0.17,0.0,0.06,0.0,0.0,0.0,200
