row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,bias_type,anchor_level
BIAS_WORD_phi4_generalist_00_b2_20250906_143506,phi4,phi4_generalist,generalist,2,high costs of DC solutions,high costs of DC solutions,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b3_20250906_143506,phi4,phi4_generalist,generalist,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b4_20250906_143506,phi4,phi4_generalist,generalist,4,incompatibility of DC systems components,incompatibility of DC systems components,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b6_20250906_143506,phi4,phi4_generalist,generalist,6,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b10_20250906_143506,phi4,phi4_generalist,generalist,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b2_20250906_143506,phi4,phi4_generalist2,generalist2,2,high costs of DC solutions,high costs of DC solutions,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b3_20250906_143506,phi4,phi4_generalist2,generalist2,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b6_20250906_143506,phi4,phi4_generalist2,generalist2,6,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b7_20250906_143506,phi4,phi4_generalist2,generalist2,7,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b10_20250906_143506,phi4,phi4_generalist2,generalist2,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b2_20250906_143506,phi4,phi4_normative,normative,2,high costs of DC solutions,high costs of DC solutions,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b3_20250906_143506,phi4,phi4_normative,normative,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b4_20250906_143506,phi4,phi4_normative,normative,4,incompatibility of DC systems components,incompatibility of DC systems components,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b7_20250906_143506,phi4,phi4_normative,normative,7,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b10_20250906_143506,phi4,phi4_normative,normative,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b2_20250906_143506,phi4,phi4_normative2,normative2,2,high costs of DC solutions,high costs of DC solutions,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b3_20250906_143506,phi4,phi4_normative2,normative2,3,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,matched_by_label,FALSE,1,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b7_20250906_143506,phi4,phi4_normative2,normative2,7,lack of enough trained personnel in DC systems,lack of trained personnel in DC systems,matched,matched_by_label,FALSE,0.918,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
