row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,bias_type,anchor_level,_ts
BIAS_WORD_llama_generalist_08_b5_20250906_191856,llama,llama_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Resistance from utilities and potential resistance from the public regarding the adoption of DC technology,hallucinated_label,correct_id,True,0.304,8,20250906_191856,no,UNNUMBERED,BIAS_WORD,,
BIAS_EXAMPLE_llama_generalist2_02_b5_20250906_230557,llama,llama_generalist2,generalist2,2,reduced reliability in DC devices,Challenges in maintaining and repairing high-voltage direct current (HVDC) transmission networks.,hallucinated_label,correct_id,True,0.324,2,20250906_230557,no,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_EXAMPLE_llama_normative_03_b3_20250908_080914,llama,llama_normative,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Uncertainty in the regulatory environment surrounding DC adoption,hallucinated_label,correct_id,True,0.559,3,20250908_080914,no,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_EXAMPLE_llama_subject_matter_05_b3_20250908_090148,llama,llama_subject_matter,subject_matter,7,incompatibility of DC systems components,Limited availability of DC-compatible hardware components and devices,hallucinated_label,correct_id,True,0.495,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_EXAMPLE_llama_subject_matter_09_b5_20250908_195323,llama,llama_subject_matter,subject_matter,7,incompatibility of DC systems components,Uncertainty surrounding the integration of DC systems with existing power grid infrastructure and electricity market arrangements.,hallucinated_label,correct_id,True,0.428,9,20250908_195323,no,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_NUM_LOW_llama_subject_matter_06_b3_20250909_095507,llama,llama_subject_matter,subject_matter,11,high costs of DC solutions,High initial investment costs for implementing DC systems,hallucinated_label,correct_id,True,0.434,6,20250909_095507,no,UNNUMBERED,BIAS_NUM_LOW,low,
BIAS_EXAMPLE_llama_subject_matter2_02_b5_20250906_230557,llama,llama_subject_matter2,subject_matter2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Resistance from incumbent utilities or energy companies to adopt DC technologies due to perceived competition or lack of understanding,hallucinated_label,correct_id,True,0.338,2,20250906_230557,no,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_EXAMPLE_llama_subject_matter2_03_b6_20250908_080914,llama,llama_subject_matter2,subject_matter2,7,incompatibility of DC systems components,Incompatibility of DC systems components,matched,wrong_id_matchable,False,1.0,3,20250908_080914,yes,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_EXAMPLE_llama_subject_matter2_03_b9_20250908_080914,llama,llama_subject_matter2,subject_matter2,9,lack of enough trained personnel in DC systems,"Shortage of skilled technicians to design, install and maintain DC systems",hallucinated_label,correct_id,True,0.469,3,20250908_080914,yes,UNNUMBERED,BIAS_EXAMPLE,,
BIAS_NUM_HIGH_llama_subject_matter2_09_b4_20250909_142603,llama,llama_subject_matter2,subject_matter2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Resistance to change from incumbent utility companies and their customers,hallucinated_label,correct_id,True,0.392,9,20250909_142603,no,UNNUMBERED,BIAS_NUM_HIGH,high,
BIAS_NUM_LOW_llama_subject_matter2_02_b4_20250909_071733,llama,llama_subject_matter2,subject_matter2,7,incompatibility of DC systems components,"Uncertainty around the integration of DC systems with existing grid infrastructure, including compatibility issues and reliability concerns",hallucinated_label,correct_id,True,0.335,2,20250909_071733,no,UNNUMBERED,BIAS_NUM_LOW,low,
