row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,bias_type,anchor_level
BIAS_EXAMPLE_llama_generalist_00_b7_20250906_222010,llama,llama_generalist,generalist,7,incompatibility of DC systems components,Incompatibility of DC systems components,matched,matched_by_label,False,1.0,0,20250906_222010,yes,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_00_b8_20250906_222010,llama,llama_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,matched_by_label,False,1.0,0,20250906_222010,yes,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_00_b2_20250906_222010,llama,llama_generalist,generalist,9,lack of enough trained personnel in DC systems,Lack of enough trained personnel in DC systems,matched,matched_by_label,False,1.0,0,20250906_222010,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_00_b3_20250906_222010,llama,llama_generalist,generalist,10,uncertain regulatory roadmap,Uncertain regulatory roadmap,matched,matched_by_label,False,1.0,0,20250906_222010,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_00_b1_20250906_222010,llama,llama_generalist,generalist,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,0,20250906_222010,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_03_b5_20250908_080914,llama,llama_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,matched_by_label,False,1.0,3,20250908_080914,yes,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_03_b3_20250908_080914,llama,llama_generalist,generalist,10,uncertain regulatory roadmap,Uncertain regulatory roadmap,matched,matched_by_label,False,1.0,3,20250908_080914,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_03_b4_20250908_080914,llama,llama_generalist,generalist,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,3,20250908_080914,yes,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_04_b1_20250908_081421,llama,llama_generalist,generalist,11,high costs of DC solutions,high costs of DC solutions,matched,matched_by_label,False,1.0,4,20250908_081421,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_05_b9_20250908_090148,llama,llama_generalist,generalist,7,incompatibility of DC systems components,Incompatibility of DC systems components,matched,matched_by_label,False,1.0,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_05_b8_20250908_090148,llama,llama_generalist,generalist,9,lack of enough trained personnel in DC systems,Lack of trained personnel in DC systems,matched,matched_by_label,False,0.918,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_05_b7_20250908_090148,llama,llama_generalist,generalist,10,uncertain regulatory roadmap,Uncertain regulatory roadmap,matched,matched_by_label,False,1.0,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist_05_b10_20250908_090148,llama,llama_generalist,generalist,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_WORD_llama_generalist_00_b3_20250906_143506,llama,llama_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,Public perception and readiness to adopt and champion DC installations from DC projects,matched,correct_id,False,0.876,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b4_20250906_143506,llama,llama_generalist,generalist,7,incompatibility of DC systems components,Incompatibility between different components in DC systems,hallucinated_label,correct_id,True,0.612,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b6_20250906_143506,llama,llama_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Time-consuming and costly design and permit process due to misconceptions about DC systems,hallucinated_label,correct_id,True,0.483,0,20250906_143506,yes,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b7_20250906_143506,llama,llama_generalist,generalist,9,lack of enough trained personnel in DC systems,Insufficient trained personnel with expertise in DC systems,hallucinated_label,correct_id,True,0.667,0,20250906_143506,yes,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b10_20250906_143506,llama,llama_generalist,generalist,10,uncertain regulatory roadmap,Unclear regulatory framework for DC technologies,hallucinated_label,correct_id,True,0.526,0,20250906_143506,yes,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b2_20250906_143506,llama,llama_generalist,generalist,11,high costs of DC solutions,High initial costs associated with DC solutions,hallucinated_label,correct_id,True,0.685,0,20250906_143506,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_01_b7_20250906_144359,llama,llama_generalist,generalist,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,1,20250906_144359,no,UNNUMBERED,BIAS_WORD,
BIAS_WORD_llama_generalist_02_b3_20250906_144722,llama,llama_generalist,generalist,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,2,20250906_144722,no,UNNUMBERED,BIAS_WORD,
BIAS_EXAMPLE_llama_generalist2_01_b1_20250906_222330,llama,llama_generalist2,generalist2,11,high costs of DC solutions,High costs of DC solutions,matched,wrong_id_matchable,False,1.0,1,20250906_222330,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist2_05_b10_20250908_090148,llama,llama_generalist2,generalist2,11,high costs of DC solutions,High costs of DC solutions,matched,matched_by_label,False,1.0,5,20250908_090148,no,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist2_08_b9_20250908_185419,llama,llama_generalist2,generalist2,7,incompatibility of DC systems components,Incompatibility of DC systems components,matched,matched_by_label,False,1.0,8,20250908_185419,yes,UNNUMBERED,BIAS_EXAMPLE,
BIAS_EXAMPLE_llama_generalist2_08_b10_20250908_185419,llama,llama_generalist2,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,matched_by_label,False,1.0,8,20250908_185419,yes,UNNUMBERED,BIAS_EXAMPLE,
