base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,0.07,0.0,0.05,0.055,0.07,0.115,0.045,0.06,0.16,0.175,0.2,200
gemma3,gemma3_generalist2,generalist2,0.07,0.0,0.05,0.085,0.06,0.12,0.045,0.045,0.165,0.16,0.2,200
gemma3,gemma3_normative,normative,0.07,0.0,0.045,0.07,0.055,0.125,0.05,0.05,0.16,0.19,0.185,200
gemma3,gemma3_normative2,normative2,0.075,0.0,0.035,0.085,0.05,0.125,0.06,0.06,0.145,0.175,0.19,200
gemma3,gemma3_subject_matter,subject_matter,0.065,0.0,0.055,0.08,0.06,0.05,0.11,0.05,0.155,0.175,0.2,200
gemma3,gemma3_subject_matter2,subject_matter2,0.075,0.0,0.06,0.08,0.05,0.055,0.12,0.04,0.165,0.16,0.195,200
llama,llama_generalist,generalist,0.07035175879396985,0.08542713567839195,0.09547738693467336,0.08542713567839195,0.07035175879396985,0.11557788944723618,0.1306532663316583,0.04522613065326633,0.06532663316582915,0.12562814070351758,0.11055276381909548,199
llama,llama_generalist2,generalist2,0.08040201005025126,0.11557788944723618,0.09547738693467336,0.10552763819095477,0.07537688442211055,0.10552763819095477,0.11557788944723618,0.04522613065326633,0.06030150753768844,0.09547738693467336,0.10552763819095477,199
llama,llama_normative,normative,0.09045226130653267,0.09547738693467336,0.08542713567839195,0.08040201005025126,0.07035175879396985,0.09045226130653267,0.1306532663316583,0.05527638190954774,0.08542713567839195,0.09045226130653267,0.12562814070351758,199
llama,llama_normative2,normative2,0.105,0.08,0.07,0.09,0.07,0.09,0.135,0.055,0.085,0.1,0.12,200
llama,llama_subject_matter,subject_matter,0.09137055837563451,0.09644670050761421,0.09137055837563451,0.10152284263959391,0.07614213197969544,0.1065989847715736,0.1218274111675127,0.04060913705583756,0.06598984771573604,0.1065989847715736,0.10152284263959391,197
llama,llama_subject_matter2,subject_matter2,0.10152284263959391,0.09644670050761421,0.09644670050761421,0.09644670050761421,0.05583756345177665,0.09137055837563451,0.12690355329949238,0.03553299492385787,0.08629441624365482,0.09644670050761421,0.116751269035533,197
mistral,mistral_generalist,generalist,0.06,0.05,0.065,0.125,0.09,0.095,0.145,0.035,0.075,0.11,0.15,200
mistral,mistral_generalist2,generalist2,0.05,0.05,0.065,0.125,0.09,0.085,0.14,0.04,0.07,0.125,0.16,200
mistral,mistral_normative,normative,0.09,0.06,0.07,0.125,0.07,0.11,0.145,0.04,0.06,0.11,0.12,200
mistral,mistral_normative2,normative2,0.08,0.06,0.06,0.14,0.1,0.08,0.155,0.05,0.06,0.115,0.1,200
mistral,mistral_subject_matter,subject_matter,0.08,0.075,0.08,0.105,0.08,0.055,0.155,0.02,0.08,0.14,0.13,200
mistral,mistral_subject_matter2,subject_matter2,0.075,0.07,0.06,0.14,0.08,0.07,0.155,0.03,0.06,0.12,0.14,200
phi4,phi4_generalist,generalist,0.06,0.0,0.025,0.12,0.035,0.16,0.05,0.105,0.105,0.18,0.16,200
phi4,phi4_generalist2,generalist2,0.065,0.005,0.04,0.115,0.015,0.145,0.06,0.08,0.135,0.185,0.155,200
phi4,phi4_normative,normative,0.085,0.01,0.03,0.115,0.02,0.125,0.065,0.1,0.13,0.195,0.125,200
phi4,phi4_normative2,normative2,0.065,0.005,0.05,0.13,0.015,0.135,0.06,0.125,0.1,0.185,0.13,200
phi4,phi4_subject_matter,subject_matter,0.08,0.01,0.025,0.085,0.005,0.145,0.11,0.085,0.1,0.185,0.17,200
phi4,phi4_subject_matter2,subject_matter2,0.075,0.005,0.035,0.1,0.01,0.155,0.095,0.105,0.09,0.19,0.14,200
