base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,14.0,0.0,10.0,11.0,14.0,23.0,9.0,12.0,32.0,35.0,40.0,200
gemma3,gemma3_generalist2,generalist2,14.0,0.0,10.0,17.0,12.0,24.0,9.0,9.0,33.0,32.0,40.0,200
gemma3,gemma3_normative,normative,14.0,0.0,9.0,14.0,11.0,25.0,10.0,10.0,32.0,38.0,37.0,200
gemma3,gemma3_normative2,normative2,15.0,0.0,7.0,17.0,10.0,25.0,12.0,12.0,29.0,35.0,38.0,200
gemma3,gemma3_subject_matter,subject_matter,13.0,0.0,11.0,16.0,12.0,10.0,22.0,10.0,31.0,35.0,40.0,200
gemma3,gemma3_subject_matter2,subject_matter2,15.0,0.0,12.0,16.0,10.0,11.0,24.0,8.0,33.0,32.0,39.0,200
llama,llama_generalist,generalist,11.0,14.0,18.0,14.0,13.0,22.0,28.0,9.0,15.0,28.0,28.0,200
llama,llama_generalist2,generalist2,11.0,20.0,17.0,18.0,13.0,23.0,23.0,10.0,15.0,22.0,28.0,200
llama,llama_normative,normative,17.0,17.0,17.0,16.0,13.0,18.0,27.0,10.0,19.0,20.0,26.0,200
llama,llama_normative2,normative2,19.0,14.0,13.0,14.0,13.0,19.0,28.0,10.0,18.0,23.0,29.0,200
llama,llama_subject_matter,subject_matter,14.0,15.0,18.0,18.0,14.0,20.0,27.0,7.0,14.0,25.0,28.0,200
llama,llama_subject_matter2,subject_matter2,18.0,17.0,18.0,18.0,9.0,18.0,24.0,9.0,18.0,23.0,28.0,200
mistral,mistral_generalist,generalist,11.0,9.0,13.0,25.0,18.0,17.0,28.0,6.0,15.0,23.0,35.0,200
mistral,mistral_generalist2,generalist2,10.0,9.0,13.0,24.0,18.0,16.0,27.0,8.0,15.0,26.0,34.0,200
mistral,mistral_normative,normative,15.0,12.0,14.0,25.0,14.0,20.0,26.0,7.0,13.0,22.0,32.0,200
mistral,mistral_normative2,normative2,14.0,11.0,12.0,27.0,18.0,16.0,29.0,8.0,11.0,24.0,30.0,200
mistral,mistral_subject_matter,subject_matter,12.0,14.0,16.0,20.0,15.0,10.0,30.0,3.0,17.0,29.0,34.0,200
mistral,mistral_subject_matter2,subject_matter2,12.0,14.0,12.0,26.0,16.0,14.0,30.0,5.0,13.0,24.0,34.0,200
phi4,phi4_generalist,generalist,12.0,0.0,5.0,24.0,7.0,32.0,10.0,21.0,21.0,36.0,32.0,200
phi4,phi4_generalist2,generalist2,13.0,1.0,8.0,23.0,3.0,29.0,12.0,16.0,27.0,37.0,31.0,200
phi4,phi4_normative,normative,17.0,2.0,6.0,23.0,4.0,25.0,13.0,20.0,26.0,39.0,25.0,200
phi4,phi4_normative2,normative2,13.0,1.0,10.0,26.0,3.0,27.0,12.0,25.0,20.0,37.0,26.0,200
phi4,phi4_subject_matter,subject_matter,16.0,2.0,5.0,17.0,1.0,29.0,22.0,17.0,20.0,37.0,34.0,200
phi4,phi4_subject_matter2,subject_matter2,15.0,1.0,7.0,20.0,2.0,31.0,19.0,21.0,18.0,38.0,28.0,200
