base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,0.07,0.0,0.05,0.055,0.07,0.115,0.045,0.06,0.16,0.175,0.2,200
gemma3,gemma3_generalist2,generalist2,0.07,0.0,0.05,0.085,0.06,0.12,0.045,0.045,0.165,0.16,0.2,200
gemma3,gemma3_normative,normative,0.07,0.0,0.045,0.07,0.055,0.125,0.05,0.05,0.16,0.19,0.185,200
gemma3,gemma3_normative2,normative2,0.075,0.0,0.035,0.085,0.05,0.125,0.06,0.06,0.145,0.175,0.19,200
gemma3,gemma3_subject_matter,subject_matter,0.065,0.0,0.055,0.08,0.06,0.05,0.11,0.05,0.155,0.175,0.2,200
gemma3,gemma3_subject_matter2,subject_matter2,0.075,0.0,0.06,0.08,0.05,0.055,0.12,0.04,0.165,0.16,0.195,200
llama,llama_generalist,generalist,0.055,0.07,0.09,0.07,0.065,0.11,0.14,0.045,0.075,0.14,0.14,200
llama,llama_generalist2,generalist2,0.055,0.1,0.085,0.09,0.065,0.115,0.115,0.05,0.075,0.11,0.14,200
llama,llama_normative,normative,0.085,0.085,0.085,0.08,0.065,0.09,0.135,0.05,0.095,0.1,0.13,200
llama,llama_normative2,normative2,0.095,0.07,0.065,0.07,0.065,0.095,0.14,0.05,0.09,0.115,0.145,200
llama,llama_subject_matter,subject_matter,0.07,0.075,0.09,0.09,0.07,0.1,0.135,0.035,0.07,0.125,0.14,200
llama,llama_subject_matter2,subject_matter2,0.09,0.085,0.09,0.09,0.045,0.09,0.12,0.045,0.09,0.115,0.14,200
mistral,mistral_generalist,generalist,0.055,0.045,0.065,0.125,0.09,0.085,0.14,0.03,0.075,0.115,0.175,200
mistral,mistral_generalist2,generalist2,0.05,0.045,0.065,0.12,0.09,0.08,0.135,0.04,0.075,0.13,0.17,200
mistral,mistral_normative,normative,0.075,0.06,0.07,0.125,0.07,0.1,0.13,0.035,0.065,0.11,0.16,200
mistral,mistral_normative2,normative2,0.07,0.055,0.06,0.135,0.09,0.08,0.145,0.04,0.055,0.12,0.15,200
mistral,mistral_subject_matter,subject_matter,0.06,0.07,0.08,0.1,0.075,0.05,0.15,0.015,0.085,0.145,0.17,200
mistral,mistral_subject_matter2,subject_matter2,0.06,0.07,0.06,0.13,0.08,0.07,0.15,0.025,0.065,0.12,0.17,200
phi4,phi4_generalist,generalist,0.06,0.0,0.025,0.12,0.035,0.16,0.05,0.105,0.105,0.18,0.16,200
phi4,phi4_generalist2,generalist2,0.065,0.005,0.04,0.115,0.015,0.145,0.06,0.08,0.135,0.185,0.155,200
phi4,phi4_normative,normative,0.085,0.01,0.03,0.115,0.02,0.125,0.065,0.1,0.13,0.195,0.125,200
phi4,phi4_normative2,normative2,0.065,0.005,0.05,0.13,0.015,0.135,0.06,0.125,0.1,0.185,0.13,200
phi4,phi4_subject_matter,subject_matter,0.08,0.01,0.025,0.085,0.005,0.145,0.11,0.085,0.1,0.185,0.17,200
phi4,phi4_subject_matter2,subject_matter2,0.075,0.005,0.035,0.1,0.01,0.155,0.095,0.105,0.09,0.19,0.14,200
