base_family,condition,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
phi4,context,1,20,0,50,0
phi4,context,2,6.266666666666667,0.032043054935734706,50,0.8881881682516504
phi4,context,3,4.3999999999999995,0.031901208046560436,50,0.8842563730804169
phi4,context,4,19.933333333333334,0.00471404520791032,50,0.13066666666666674
phi4,context,5,2.4,0.02431837206629277,50,0.6740708831833307
phi4,context,6,11.733333333333333,0.037640138753084765,50,1.0433314163986647
phi4,context,7,0.2,0.007996597916069841,50,0.22165438562470777
phi4,context,8,11.533333333333333,0.041079536811789906,50,1.1386666666666667
phi4,context,9,1.3333333333333333,0.017817416127494958,50,0.49387357806539023
phi4,context,10,19.53333333333333,0.013485525960482192,50,0.37379970869734813
phi4,context,11,2.666666666666667,0.03011693009684171,50,0.8347987115999215
phi4,anchor,1,20,0,10,0
phi4,anchor,2,8,0.020861092617242873,10,1.2929839161441286
phi4,anchor,3,2.9166666666666665,0.00809854429839625,10,0.5019529760081681
phi4,anchor,4,20,0,10,0
phi4,anchor,5,3.833333333333334,0.013146843962443592,10,0.8148498308974361
phi4,anchor,6,11.166666666666666,0.01721325931647741,10,1.066888865745562
phi4,anchor,7,0.4166666666666667,0.004392052305789416,10,0.27222222222222225
phi4,anchor,8,11.5,0.016101529717988266,10,0.9979831513459384
phi4,anchor,9,1.5833333333333335,0.009170874455121766,10,0.5684166877073522
phi4,anchor,10,18.916666666666668,0.0068606050195713815,10,0.4252247045771406
phi4,anchor,11,1.6666666666666667,0.011111111111111112,10,0.6886738015477804
llama,context,1,17.866666666666667,0.024980718187817153,50,0.6924301809970127
llama,context,2,13.333333333333334,0.03688555567816587,50,1.02241544067631
llama,context,3,16.266666666666666,0.03204305493573471,50,0.8881881682516506
llama,context,4,18.133333333333333,0.0234834819160723,50,0.6509289089020741
llama,context,5,13.4,0.037790447388621896,50,1.0474977592126655
llama,context,6,7.333333333333333,0.040963453652583935,50,1.1354490056556676
llama,context,7,6.133333333333333,0.0364899886869867,50,1.0114508830827569
llama,context,8,2.3333333333333335,0.025421614885788837,50,0.7046512139586033
llama,context,9,2.6,0.02633294583371141,50,0.7299120190513069
llama,context,10,1.2,0.021038782889880498,50,0.5831653091343635
llama,context,11,1.4000000000000001,0.021391502328777335,50,0.592942193172694
llama,anchor,1,17.583333333333332,0.009976824997815542,10,0.61837001987603
llama,anchor,2,12.166666666666668,0.022635054208292624,10,1.402935194687847
llama,anchor,3,18,0.014272480642961261,10,0.8846175151714717
llama,anchor,4,15.916666666666664,0.016873713942763817,10,1.0458436254473649
llama,anchor,5,6.999999999999999,0.016292086998461307,10,1.0097940139539763
llama,anchor,6,6.333333333333334,0.018087578440110785,10,1.1210797264630288
llama,anchor,7,5.916666666666667,0.016410061653046586,10,1.017106158801334
llama,anchor,8,2.8333333333333335,0.018509256943286312,10,1.147215630866187
llama,anchor,9,1,0.008606629658238704,10,0.533444432872781
llama,anchor,10,7.5,0.02151657414559676,10,1.3336110821819525
llama,anchor,11,5.75,0.012076147288491199,10,0.7484873635094538
mistral,context,1,20,0,50,0
mistral,context,2,18.46666666666667,0.01929599960890935,50,0.5348578211907247
mistral,context,3,6.266666666666667,0.03905923172268548,50,1.0826666666666667
mistral,context,4,19.8,0.007996597916069846,50,0.22165438562470793
mistral,context,5,19.666666666666668,0.012140522651411398,50,0.3365181190433058
mistral,context,6,5.2,0.033779329239939426,50,0.9363152365641724
mistral,context,7,0.9333333333333332,0.016550616378078826,50,0.45875968049126165
mistral,context,8,0.6,0.012936264483053453,50,0.3585749572962395
mistral,context,9,1.2,0.019931856701387,50,0.5524828805794196
mistral,context,10,4.3999999999999995,0.04438544837230874,50,1.2303018599785447
mistral,context,11,3.4666666666666663,0.030831264869025994,50,0.8545990612887165
mistral,anchor,1,20,0,10,0
mistral,anchor,2,17.666666666666668,0.012909944487358063,10,0.8001666493091719
mistral,anchor,3,7.083333333333333,0.017235657841653967,10,1.0682771407189784
mistral,anchor,4,18.916666666666668,0.014191155304938677,10,0.8795769184986362
mistral,anchor,5,17.916666666666668,0.01583576979304359,10,0.9815111805429751
mistral,anchor,6,5.833333333333333,0.02290614236454256,10,1.4197374126885767
mistral,anchor,7,1.3333333333333335,0.008958064164776167,10,0.5552265692578809
mistral,anchor,8,0.75,0.007296625298090943,10,0.4522495214255396
mistral,anchor,9,1.7500000000000002,0.009976824997815539,10,0.6183700198760297
mistral,anchor,10,4.916666666666666,0.011419335995052482,10,0.7077777777777778
mistral,anchor,11,3.833333333333333,0.013721210039142742,10,0.85044940915428
gemma3,context,1,20,0,50,0
gemma3,context,2,0,0,50,0
gemma3,context,3,0,0,50,0
gemma3,context,4,20,0,50,0
gemma3,context,5,0,0,50,0
gemma3,context,6,2.533333333333333,0.02740475156178697,50,0.7596209581100299
gemma3,context,7,17.333333333333336,0.027766437594501436,50,0.76964638344863
gemma3,context,8,13.4,0.022827361550870253,50,0.6327421802493229
gemma3,context,9,6.6000000000000005,0.022827361550870257,50,0.6327421802493229
gemma3,context,10,0.8,0.01587936381003149,50,0.44015350857525953
gemma3,context,11,19.333333333333332,0.013468700594029485,50,0.3733333333333336
gemma3,anchor,1,20,0,10,0
gemma3,anchor,2,0,0,10,0
gemma3,anchor,3,0.4166666666666667,0.004392052305789416,10,0.27222222222222225
gemma3,anchor,4,18.166666666666668,0.010971343143406398,10,0.6800108931589371
gemma3,anchor,5,3.166666666666667,0.015112745009706049,10,0.9366976401890861
gemma3,anchor,6,4.916666666666666,0.0177647521725772,10,1.101070747101864
gemma3,anchor,7,9.916666666666666,0.014407002755433268,10,0.8929552820844218
gemma3,anchor,8,16.666666666666664,0.01360827634879543,10,0.8434497065073928
