base_model,variant_id,arm,iteration,rows,n_unique_ids,any_na_ids,ids_list,count_ok,uniq_ok,valid_ids_ok,all_ok
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,0,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,1,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,2,5,5,0,"(1, 4, 6, 7, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,3,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,4,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,5,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,6,5,5,0,"(1, 4, 5, 6, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,7,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,8,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_EXAMPLE,9,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,0,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,1,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,2,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,3,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,4,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,5,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,6,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,7,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,8,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_HIGH,9,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,0,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,1,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,2,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,3,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,4,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,5,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,6,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,7,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,8,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_NUM_LOW,9,5,5,0,"(1, 3, 4, 6, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,0,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,1,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,2,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,3,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,4,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,5,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,6,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,7,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,8,5,5,0,"(1, 4, 8, 9, 11)",True,True,True,True
gemma3,gemma3_generalist,ANCHOR_WORD,9,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,0,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,1,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,2,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,3,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,4,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,5,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,6,5,5,0,"(1, 4, 6, 8, 10)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,7,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,8,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_EXAMPLE,9,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,0,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,1,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,2,5,5,0,"(1, 4, 5, 8, 10)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,3,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,4,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,5,5,5,0,"(1, 3, 4, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,6,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,7,5,5,0,"(1, 4, 8, 9, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,8,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_HIGH,9,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,0,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,1,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,2,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,3,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,4,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,5,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,6,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,7,5,5,0,"(1, 3, 4, 8, 10)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,8,5,5,0,"(1, 3, 4, 6, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_NUM_LOW,9,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,0,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,1,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,2,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,3,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,4,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,5,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,6,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,7,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,8,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_generalist2,ANCHOR_WORD,9,5,5,0,"(1, 4, 8, 10, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,0,5,5,0,"(1, 4, 6, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,1,5,5,0,"(1, 4, 6, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,2,5,5,0,"(1, 4, 6, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,3,5,5,0,"(1, 4, 6, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,4,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,5,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,6,5,5,0,"(1, 4, 6, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,7,5,5,0,"(1, 4, 5, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,8,5,5,0,"(1, 4, 8, 9, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_EXAMPLE,9,5,5,0,"(1, 4, 8, 9, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,0,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,1,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,2,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,3,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,4,5,5,0,"(1, 4, 5, 8, 10)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,5,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,6,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,7,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
gemma3,gemma3_normative,ANCHOR_NUM_HIGH,8,5,5,0,"(1, 4, 7, 8, 11)",True,True,True,True
