row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp,arm,rows,n_unique_ids,any_na_ids,ids_list,count_ok,uniq_ok,valid_ids_ok,all_ok
ANCHOR_EXAMPLE_gemma3_generalist_00_b1_20250815_001614,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0,20250815_001614,ANCHOR_EXAMPLE,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_00_b2_20250815_001614,gemma3,gemma3_generalist,generalist,3,lack of use-cases in which DC is advantageous,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0,20250815_001614,ANCHOR_EXAMPLE,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_00_b3_20250815_001614,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0,20250815_001614,ANCHOR_EXAMPLE,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_00_b4_20250815_001614,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0,20250815_001614,ANCHOR_EXAMPLE,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_00_b5_20250815_001614,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,0,20250815_001614,ANCHOR_EXAMPLE,5,5,0,"(1, 3, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_01_b1_20250815_002012,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1,20250815_002012,ANCHOR_EXAMPLE,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_01_b2_20250815_002012,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1,20250815_002012,ANCHOR_EXAMPLE,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_01_b3_20250815_002012,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1,20250815_002012,ANCHOR_EXAMPLE,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_01_b4_20250815_002012,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1,20250815_002012,ANCHOR_EXAMPLE,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
ANCHOR_EXAMPLE_gemma3_generalist_01_b5_20250815_002012,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,1,20250815_002012,ANCHOR_EXAMPLE,5,5,0,"(1, 5, 6, 10, 11)",True,True,True,True
