row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp,arm,rows,n_unique_ids,any_na_ids,ids_list,count_ok,uniq_ok,valid_ids_ok,all_ok
ANCHOR_HIGH_NUM_gemma3_generalist2_00_b1_20250815_013723,gemma3,gemma3_generalist2,generalist2,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0,20250815_013723,ANCHOR_NUM_HIGH,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
ANCHOR_HIGH_NUM_gemma3_generalist2_00_b4_20250815_013723,gemma3,gemma3_generalist2,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0,20250815_013723,ANCHOR_NUM_HIGH,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
ANCHOR_HIGH_NUM_gemma3_generalist2_00_b2_20250815_013723,gemma3,gemma3_generalist2,generalist2,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0,20250815_013723,ANCHOR_NUM_HIGH,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
ANCHOR_HIGH_NUM_gemma3_generalist2_00_b5_20250815_013723,gemma3,gemma3_generalist2,generalist2,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0,20250815_013723,ANCHOR_NUM_HIGH,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
ANCHOR_HIGH_NUM_gemma3_generalist2_00_b3_20250815_013723,gemma3,gemma3_generalist2,generalist2,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0,20250815_013723,ANCHOR_NUM_HIGH,5,4,0,"(1, 4, 5, 5, 6)",True,False,True,False
ANCHOR_LOW_NUM_gemma3_normative_02_b1_20250815_010728,gemma3,gemma3_normative,normative,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_LOW,low,2,20250815_010728,ANCHOR_NUM_LOW,5,4,0,"(1, 5, 5, 6, 10)",True,False,True,False
ANCHOR_LOW_NUM_gemma3_normative_02_b2_20250815_010728,gemma3,gemma3_normative,normative,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_LOW,low,2,20250815_010728,ANCHOR_NUM_LOW,5,4,0,"(1, 5, 5, 6, 10)",True,False,True,False
ANCHOR_LOW_NUM_gemma3_normative_02_b5_20250815_010728,gemma3,gemma3_normative,normative,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_LOW,low,2,20250815_010728,ANCHOR_NUM_LOW,5,4,0,"(1, 5, 5, 6, 10)",True,False,True,False
ANCHOR_LOW_NUM_gemma3_normative_02_b3_20250815_010728,gemma3,gemma3_normative,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_LOW,low,2,20250815_010728,ANCHOR_NUM_LOW,5,4,0,"(1, 5, 5, 6, 10)",True,False,True,False
ANCHOR_LOW_NUM_gemma3_normative_02_b4_20250815_010728,gemma3,gemma3_normative,normative,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_NUM_LOW,low,2,20250815_010728,ANCHOR_NUM_LOW,5,4,0,"(1, 5, 5, 6, 10)",True,False,True,False
