base_model,scenario,rating,n
gemma3-12b,BIAS_EXAMPLE,3,60
gemma3-12b,BIAS_NUM_HIGH,3,60
gemma3-12b,BIAS_NUM_LOW,3,60
gemma3-12b,BIAS_WORD,3,60
gemma3-12b,NEU,3,300
llama-pro,BIAS_EXAMPLE,1,1
llama-pro,BIAS_EXAMPLE,2,4
llama-pro,BIAS_EXAMPLE,3,32
llama-pro,BIAS_EXAMPLE,4,23
llama-pro,BIAS_NUM_HIGH,2,2
llama-pro,BIAS_NUM_HIGH,3,32
llama-pro,BIAS_NUM_HIGH,4,26
llama-pro,BIAS_NUM_LOW,2,4
llama-pro,BIAS_NUM_LOW,3,36
llama-pro,BIAS_NUM_LOW,4,20
llama-pro,BIAS_WORD,2,1
llama-pro,BIAS_WORD,3,35
llama-pro,BIAS_WORD,4,24
llama-pro,NEU,1,4
llama-pro,NEU,2,30
llama-pro,NEU,3,194
llama-pro,NEU,4,72
mistral,BIAS_EXAMPLE,3,60
mistral,BIAS_NUM_HIGH,3,60
mistral,BIAS_NUM_LOW,3,60
mistral,BIAS_WORD,3,59
mistral,BIAS_WORD,4,1
mistral,NEU,3,300
phi4,BIAS_EXAMPLE,3,60
phi4,BIAS_NUM_HIGH,3,60
phi4,BIAS_NUM_LOW,3,60
phi4,BIAS_WORD,3,60
phi4,NEU,3,300
