contrast,base_model,estimate,SE,df,z.ratio,p.value,scenario,OR,CI_low,CI_high,stat,p,p_fdr,nonestim,drop_reason
BIAS_WORD - NEU,phi4,-3.9450155293096237e-5,0.6171885791280795,Inf,-6.39191271958218e-5,0.9999999999602721,BIAS_WORD,0.999960550622854,0.2982780823820048,3.3523116912135773,-6.39191271958218e-5,0.9999999999602721,1,FALSE,ok
BIAS_EXAMPLE - NEU,phi4,-4.3361594566239986e-5,0.6171873724893235,Inf,-7.025677533120637e-5,0.9999999999502841,BIAS_EXAMPLE,0.9999566393455341,0.2982776211169884,3.352290650658754,-7.025677533120637e-5,0.9999999999502841,1,FALSE,ok
BIAS_NUM_LOW - NEU,phi4,-4.321987019712076e-5,0.6171820827653323,Inf,-7.002774611257472e-5,0.9999999999506677,BIAS_NUM_LOW,0.9999567810637681,0.29828075590699415,3.352256369858442,-7.002774611257472e-5,0.9999999999506677,1,FALSE,ok
BIAS_NUM_HIGH - NEU,phi4,-4.4483683937265425e-5,0.617188671704164,Inf,-7.20746928397735e-5,0.9999999999471779,BIAS_NUM_HIGH,0.9999555173054472,0.29827652687249195,3.3522954255701425,-7.20746928397735e-5,0.9999999999471779,1,FALSE,ok
BIAS_WORD - NEU,llama-pro,1.318628166257646,0.31690568479514264,Inf,4.160948286901344,1.2522118590119202e-4,BIAS_WORD,3.738289546317922,2.0087106007429614,6.9571040880358765,4.160948286901344,1.2522118590119202e-4,0.0010017694872095362,FALSE,ok
BIAS_EXAMPLE - NEU,llama-pro,1.0476457019171925,0.3339177244088548,Inf,3.1374366358415777,0.006462199843177752,BIAS_EXAMPLE,2.8509312688824493,1.4816657506681368,5.485588835556582,3.1374366358415777,0.006462199843177752,0.03446506583028134,FALSE,ok
BIAS_NUM_LOW - NEU,llama-pro,0.8539356089700754,0.34072571670468454,Inf,2.506225879363848,0.04340211182319009,BIAS_NUM_LOW,2.3488729302730187,1.204558613788624,4.580270299355909,2.506225879363848,0.04340211182319009,0.17360844729276037,FALSE,ok
BIAS_NUM_HIGH - NEU,llama-pro,1.4177992531794152,0.3167026187800137,Inf,4.476752540414702,3.0092152672578365e-5,BIAS_NUM_HIGH,4.1280256968806155,2.2190121522095474,7.679361348759978,4.476752540414702,3.0092152672578365e-5,4.8147444276125384e-4,FALSE,ok
BIAS_WORD - NEU,mistral,0.30706880614723203,0.6094919451534743,Inf,0.5038110980612057,0.9300999579378888,BIAS_WORD,1.3594345023045966,0.4116691005437683,4.489193295331286,0.5038110980612057,0.9300999579378888,1,FALSE,ok
BIAS_EXAMPLE - NEU,mistral,2.9679401016850977e-6,0.6171884489008135,Inf,4.808806948624643e-6,1,BIAS_EXAMPLE,1.000002967944506,0.29829081117586637,3.352453037208166,4.808806948624643e-6,1,1,FALSE,ok
BIAS_NUM_LOW - NEU,mistral,3.6658362595553504e-6,0.6171825096319946,Inf,5.939630826124944e-6,1,BIAS_NUM_LOW,1.0000036658429787,0.29829449176803957,3.3524163512781993,5.939630826124944e-6,1,1,FALSE,ok
BIAS_NUM_HIGH - NEU,mistral,-1.2679358502689224e-6,0.6171894697715924,Inf,-2.0543705172710678e-6,1,BIAS_NUM_HIGH,0.9999987320649536,0.2982889508067034,3.352445544587171,-2.0543705172710678e-6,1,1,FALSE,ok
BIAS_WORD - NEU,gemma3-12b,8.926224163459864e-6,0.6171884860260787,Inf,1.4462719842577711e-5,0.9999999999988453,BIAS_WORD,1.0000089262640024,0.29829256677713273,3.3524732560796235,1.4462719842577711e-5,0.9999999999988453,1,FALSE,ok
BIAS_EXAMPLE - NEU,gemma3-12b,3.0593265282935996e-6,0.6171885788174528,Inf,4.956874824474779e-6,1,BIAS_EXAMPLE,1.0000030593312081,0.2982907624798398,3.352454197234357,4.956874824474779e-6,1,1,FALSE,ok
BIAS_NUM_LOW - NEU,gemma3-12b,3.5920809898777636e-6,0.6171884860185282,Inf,5.820071293050545e-6,1,BIAS_NUM_LOW,1.0000035920874415,0.298290975650532,3.3524553735053706,5.820071293050545e-6,1,1,FALSE,ok
BIAS_NUM_HIGH - NEU,gemma3-12b,-1.8351551794481947e-6,0.617189970889264,Inf,-2.9734040830314426e-6,1,BIAS_NUM_HIGH,0.9999981648465045,0.29828848863518853,3.35244693575617,-2.9734040830314426e-6,1,1,FALSE,ok
