base_model,scenario,n,n_levels,levels
gemma3,BIAS_WORD,60,1,3
gemma3,BIAS_EXAMPLE,60,1,3
gemma3,BIAS_NUM_LOW,60,1,3
gemma3,BIAS_NUM_HIGH,60,1,3
gemma3-12b,NEU,300,1,3
llama,BIAS_WORD,60,3,"2,3,4"
llama,BIAS_EXAMPLE,60,4,"1,2,3,4"
llama,BIAS_NUM_LOW,60,3,"2,3,4"
llama,BIAS_NUM_HIGH,60,3,"2,3,4"
llama-pro,NEU,300,4,"1,2,3,4"
mistral,NEU,300,1,3
mistral,BIAS_WORD,60,2,"3,4"
mistral,BIAS_EXAMPLE,60,1,3
mistral,BIAS_NUM_LOW,60,1,3
mistral,BIAS_NUM_HIGH,60,1,3
phi4,NEU,300,1,3
phi4,BIAS_WORD,60,1,3
phi4,BIAS_EXAMPLE,60,1,3
phi4,BIAS_NUM_LOW,60,1,3
phi4,BIAS_NUM_HIGH,60,1,3
