base_model,arm,OR,OR_l95,OR_u95
gemma3,ANCHOR_WORD,1.72077099895973,1.1896086457538861,2.4890982773451262
llama,ANCHOR_WORD,1.3929125530073803,1.102707289028251,1.759492659230831
mistral,ANCHOR_WORD,0.3663908834267849,0.279538624784408,0.48022801701122053
phi4,ANCHOR_WORD,10.680600527827664,4.134723105134507,27.589568813779522
gemma3,ANCHOR_EXAMPLE,1.0362413537926738,0.7294301645593582,1.472102739209782
llama,ANCHOR_EXAMPLE,0.7328228063254704,0.5793306218073073,0.9269823573202395
mistral,ANCHOR_EXAMPLE,0.7435956474032518,0.5675345116365866,0.9742746485012451
phi4,ANCHOR_EXAMPLE,1.0611508176302273,0.6706031679398534,1.679146642293069
gemma3,ANCHOR_LOW_NUM,0.6018776915311621,0.4304709371558995,0.8415359186761676
llama,ANCHOR_LOW_NUM,1.2017584424777643,0.9516377150523618,1.517618870314652
mistral,ANCHOR_LOW_NUM,0.11805953704456786,0.08883069572378009,0.15690583275986272
phi4,ANCHOR_LOW_NUM,0.36940293183691675,0.2529344438924721,0.5395015560147324
gemma3,ANCHOR_HIGH_NUM,0.5199599601286041,0.37339397974318594,0.7240565590342068
llama,ANCHOR_HIGH_NUM,1.856889737965041,1.4678300609685193,2.3490726826270047
mistral,ANCHOR_HIGH_NUM,0.5835284024431107,0.44566167349574315,0.7640446031333707
phi4,ANCHOR_HIGH_NUM,1.3218541083947968,0.8154406402731912,2.1427657607239423
