condition5,base_model,dc_solution,prob_geq,threshold_k
CONTEXT,gemma3,DC-DC converter,1,3
ANCHOR_WORD,gemma3,DC-DC converter,1,3
ANCHOR_EXAMPLE,gemma3,DC-DC converter,1,3
ANCHOR_LOW_NUM,gemma3,DC-DC converter,1,3
ANCHOR_HIGH_NUM,gemma3,DC-DC converter,1,3
CONTEXT,llama,DC-DC converter,1,3
ANCHOR_WORD,llama,DC-DC converter,1,3
ANCHOR_EXAMPLE,llama,DC-DC converter,1,3
ANCHOR_LOW_NUM,llama,DC-DC converter,1,3
ANCHOR_HIGH_NUM,llama,DC-DC converter,1,3
CONTEXT,mistral,DC-DC converter,1,3
ANCHOR_WORD,mistral,DC-DC converter,1,3
ANCHOR_EXAMPLE,mistral,DC-DC converter,1,3
ANCHOR_LOW_NUM,mistral,DC-DC converter,1,3
ANCHOR_HIGH_NUM,mistral,DC-DC converter,1,3
CONTEXT,phi4,DC-DC converter,1,3
ANCHOR_WORD,phi4,DC-DC converter,1,3
ANCHOR_EXAMPLE,phi4,DC-DC converter,1,3
ANCHOR_LOW_NUM,phi4,DC-DC converter,1,3
ANCHOR_HIGH_NUM,phi4,DC-DC converter,1,3
CONTEXT,gemma3,DC connectors,1,3
ANCHOR_WORD,gemma3,DC connectors,1,3
ANCHOR_EXAMPLE,gemma3,DC connectors,1,3
ANCHOR_LOW_NUM,gemma3,DC connectors,1,3
ANCHOR_HIGH_NUM,gemma3,DC connectors,1,3
CONTEXT,llama,DC connectors,1,3
ANCHOR_WORD,llama,DC connectors,1,3
ANCHOR_EXAMPLE,llama,DC connectors,1,3
ANCHOR_LOW_NUM,llama,DC connectors,1,3
ANCHOR_HIGH_NUM,llama,DC connectors,1,3
CONTEXT,mistral,DC connectors,1,3
ANCHOR_WORD,mistral,DC connectors,1,3
ANCHOR_EXAMPLE,mistral,DC connectors,1,3
ANCHOR_LOW_NUM,mistral,DC connectors,1,3
ANCHOR_HIGH_NUM,mistral,DC connectors,1,3
CONTEXT,phi4,DC connectors,1,3
ANCHOR_WORD,phi4,DC connectors,1,3
ANCHOR_EXAMPLE,phi4,DC connectors,1,3
ANCHOR_LOW_NUM,phi4,DC connectors,1,3
