base_model,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
gemma3,CONTEXT,1,150,0,0.005186666666666666,0,0,0.02666666666666667,TRUE,0
gemma3,CONTEXT,2,150,0,0.003700000000000001,0,0,0.02666666666666667,TRUE,0
gemma3,CONTEXT,3,150,1,0.98638,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
gemma3,CONTEXT,4,150,0,0.004733333333333335,0,0,0.02,TRUE,0
gemma3,ZEROSHOT,1,150,0,0.005666666666666667,0,0,0.02666666666666667,TRUE,0
gemma3,ZEROSHOT,2,150,0,0.003926666666666668,0,0,0.02,TRUE,0
gemma3,ZEROSHOT,3,150,1,0.9858333333333333,0.9866666666666667,0.9533333333333334,1,TRUE,0.013333333333333308
gemma3,ZEROSHOT,4,150,0,0.004573333333333335,0,0,0.02666666666666667,TRUE,0
llama,CONTEXT,1,150,0.02666666666666667,0.018613333333333336,0.02,0,0.04666666666666667,TRUE,0.006666666666666668
llama,CONTEXT,2,150,0.06666666666666667,0.08273333333333334,0.08,0.03333333333333333,0.14016666666666652,TRUE,0.013333333333333336
llama,CONTEXT,3,150,0.6466666666666666,0.6353133333333333,0.6333333333333333,0.54,0.7266666666666667,TRUE,0.013333333333333308
llama,CONTEXT,4,150,0.26,0.26334,0.26,0.18,0.36,TRUE,0
llama,ZEROSHOT,1,150,0.04666666666666667,0.05898,0.05333333333333334,0.013333333333333334,0.12,TRUE,0.006666666666666668
llama,ZEROSHOT,2,150,0.22666666666666666,0.21248666666666666,0.21333333333333335,0.12666666666666668,0.30666666666666664,TRUE,0.013333333333333308
llama,ZEROSHOT,3,150,0.6266666666666667,0.6308266666666666,0.6333333333333333,0.5333333333333333,0.7201666666666665,TRUE,0.006666666666666599
llama,ZEROSHOT,4,150,0.1,0.09770666666666666,0.09333333333333334,0.04,0.16666666666666666,TRUE,0.006666666666666668
mistral,CONTEXT,1,150,0,0.005073333333333334,0,0,0.02666666666666667,TRUE,0
mistral,CONTEXT,2,150,0,0.003826666666666668,0,0,0.02,TRUE,0
mistral,CONTEXT,3,150,1,0.98626,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
mistral,CONTEXT,4,150,0,0.00484,0,0,0.02,TRUE,0
mistral,ZEROSHOT,1,150,0,0.005466666666666667,0,0,0.02666666666666667,TRUE,0
mistral,ZEROSHOT,2,150,0,0.0038866666666666676,0,0,0.02,TRUE,0
mistral,ZEROSHOT,3,150,1,0.9862066666666667,0.9866666666666667,0.96,1,TRUE,0.013333333333333308
mistral,ZEROSHOT,4,150,0,0.00444,0,0,0.02,TRUE,0
phi4,CONTEXT,1,150,0,0.009213333333333334,0.006666666666666667,0,0.03333333333333333,TRUE,0.006666666666666667
phi4,CONTEXT,2,150,0,0.0057066666666666654,0,0,0.02666666666666667,TRUE,0
phi4,CONTEXT,3,150,1,0.97358,0.9733333333333334,0.9333333333333333,1,TRUE,0.026666666666666616
phi4,CONTEXT,4,150,0,0.011500000000000003,0.006666666666666667,0,0.04016666666666652,TRUE,0.006666666666666667
phi4,ZEROSHOT,1,150,0,5.266666666666667e-4,0,0,0.006666666666666667,TRUE,0
phi4,ZEROSHOT,2,150,0,2.933333333333335e-4,0,0,0.006666666666666667,TRUE,0
phi4,ZEROSHOT,3,150,0.8333333333333334,0.83588,0.84,0.7466666666666667,0.9066666666666666,TRUE,0.006666666666666599
phi4,ZEROSHOT,4,150,0.16666666666666666,0.1633,0.16,0.09316666666666668,0.25333333333333335,TRUE,0.006666666666666654
