base_model,condition,rating_numeric,n
gemma3,ZEROSHOT,0,0
gemma3,ZEROSHOT,1,0
gemma3,ZEROSHOT,2,0
gemma3,ZEROSHOT,3,150
gemma3,ZEROSHOT,4,0
gemma3,CONTEXT,0,0
gemma3,CONTEXT,1,0
gemma3,CONTEXT,2,0
gemma3,CONTEXT,3,150
gemma3,CONTEXT,4,0
llama,ZEROSHOT,0,0
llama,ZEROSHOT,1,7
llama,ZEROSHOT,2,34
llama,ZEROSHOT,3,94
llama,ZEROSHOT,4,15
llama,CONTEXT,0,0
llama,CONTEXT,1,4
llama,CONTEXT,2,10
llama,CONTEXT,3,97
llama,CONTEXT,4,39
mistral,ZEROSHOT,0,0
mistral,ZEROSHOT,1,0
mistral,ZEROSHOT,2,0
mistral,ZEROSHOT,3,150
mistral,ZEROSHOT,4,0
mistral,CONTEXT,0,0
mistral,CONTEXT,1,0
mistral,CONTEXT,2,0
mistral,CONTEXT,3,150
mistral,CONTEXT,4,0
phi4,ZEROSHOT,0,0
phi4,ZEROSHOT,1,0
phi4,ZEROSHOT,2,0
phi4,ZEROSHOT,3,125
phi4,ZEROSHOT,4,25
phi4,CONTEXT,0,0
phi4,CONTEXT,1,0
phi4,CONTEXT,2,0
phi4,CONTEXT,3,150
phi4,CONTEXT,4,0
