base_model,condition,rating,n_observed,observed_proportion,predicted_mean,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
gemma3,CONTEXT,1,150,0,0.006706666666666668,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
gemma3,CONTEXT,2,150,0,0.0292,0.02666666666666667,0.006666666666666667,0.06666666666666667,FALSE,0.02666666666666667
gemma3,CONTEXT,3,150,1,0.9284533333333334,0.9266666666666666,0.88,0.9666666666666667,FALSE,0.07333333333333336
gemma3,CONTEXT,4,150,0,0.03564,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
gemma3,ZEROSHOT,1,150,0,0.007086666666666667,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
gemma3,ZEROSHOT,2,150,0,0.029666666666666668,0.02666666666666667,0,0.06666666666666667,TRUE,0.02666666666666667
gemma3,ZEROSHOT,3,150,1,0.9265533333333333,0.9266666666666666,0.88,0.9666666666666667,FALSE,0.07333333333333336
gemma3,ZEROSHOT,4,150,0,0.036693333333333335,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
llama,CONTEXT,1,150,0.02666666666666667,0.0011866666666666664,0,0,0.006666666666666667,FALSE,0.02666666666666667
llama,CONTEXT,2,150,0.06666666666666667,0.004686666666666666,0,0,0.02,FALSE,0.06666666666666667
llama,CONTEXT,3,150,0.6466666666666666,0.80798,0.8066666666666666,0.7066666666666667,0.8866666666666667,FALSE,0.16000000000000003
llama,CONTEXT,4,150,0.26,0.18614666666666665,0.18666666666666668,0.10666666666666667,0.2866666666666667,TRUE,0.07333333333333333
llama,ZEROSHOT,1,150,0.04666666666666667,0.04354,0.04,0.006666666666666667,0.09333333333333334,TRUE,0.006666666666666668
llama,ZEROSHOT,2,150,0.22666666666666666,0.15136,0.15333333333333332,0.07333333333333333,0.23333333333333334,TRUE,0.07333333333333333
llama,ZEROSHOT,3,150,0.6266666666666667,0.7993733333333334,0.8,0.7066666666666667,0.88,FALSE,0.17333333333333334
llama,ZEROSHOT,4,150,0.1,0.005726666666666667,0.006666666666666667,0,0.02,FALSE,0.09333333333333334
mistral,CONTEXT,1,150,0,0.006866666666666668,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
mistral,CONTEXT,2,150,0,0.029373333333333335,0.02666666666666667,0,0.06666666666666667,TRUE,0.02666666666666667
mistral,CONTEXT,3,150,1,0.9271666666666667,0.9266666666666666,0.88,0.9733333333333334,FALSE,0.07333333333333336
mistral,CONTEXT,4,150,0,0.03659333333333333,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
mistral,ZEROSHOT,1,150,0,0.007440000000000001,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
mistral,ZEROSHOT,2,150,0,0.03056,0.02666666666666667,0.006666666666666667,0.06666666666666667,FALSE,0.02666666666666667
mistral,ZEROSHOT,3,150,1,0.9260266666666667,0.9266666666666666,0.88,0.9666666666666667,FALSE,0.07333333333333336
mistral,ZEROSHOT,4,150,0,0.035973333333333336,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
phi4,CONTEXT,1,150,0,0.0071,0.006666666666666667,0,0.02666666666666667,TRUE,0.006666666666666667
phi4,CONTEXT,2,150,0,0.030346666666666668,0.02666666666666667,0.006666666666666667,0.06683333333333318,FALSE,0.02666666666666667
phi4,CONTEXT,3,150,1,0.9267466666666666,0.9266666666666666,0.88,0.9666666666666667,FALSE,0.07333333333333336
phi4,CONTEXT,4,150,0,0.03580666666666667,0.03333333333333333,0.006666666666666667,0.08,FALSE,0.03333333333333333
phi4,ZEROSHOT,1,150,0,0.001139999999999999,0,0,0.006666666666666667,TRUE,0
phi4,ZEROSHOT,2,150,0,0.005513333333333333,0.006666666666666667,0,0.02,TRUE,0.006666666666666667
phi4,ZEROSHOT,3,150,0.8333333333333334,0.8214,0.8266666666666667,0.7333333333333333,0.9,TRUE,0.00666666666666671
phi4,ZEROSHOT,4,150,0.16666666666666666,0.17194666666666666,0.17333333333333334,0.09333333333333334,0.26666666666666666,TRUE,0.006666666666666682
