variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept[1],-5.220029387642317,-5.211188403718046,0.3120713952593645,0.3122750142308616,-5.7506354149794365,-4.7315730549799495,1.0009433670833887,4236.897640801666,4506.691421085813
b_Intercept[2],-3.5225116783937462,-3.5184713328211314,0.1668016768133544,0.16448318359456673,-3.800020139255845,-3.2542043162095644,0.9998787224774877,5870.881685780061,6105.631146167224
b_Intercept[3],3.1242592314355364,3.1205893810466825,0.14839590668530023,0.1467668515715046,2.8881506242555735,3.3725868787715703,1.0004323286868229,7274.854091224418,7060.183055988143
b_condition1,-0.24941274868589025,-0.24842510146059393,0.10126644801194769,0.10121993187382228,-0.41842148626974646,-0.08472723225592765,1.001199985828825,7729.1004237157185,5687.60861287659
b_base_model1,-0.2182726369606466,-0.22028598389067788,0.1820224197342908,0.18407175007994894,-0.5184182851505976,0.08516076120003081,1.00114115067163,7027.664506333224,5590.618414469123
b_base_model2,-0.2236486939353126,-0.22362442205793037,0.14639365974990454,0.14477106580974888,-0.46027100686389283,0.015785210359743413,1.0010517224990583,7218.178169259555,5395.99109410976
b_base_model3,-0.2157771706439587,-0.21334222079520354,0.1810471306285061,0.17885398368085204,-0.5192945260268933,0.08051641756382522,1.0002858171171523,6690.825830063617,5673.368498483203
b_condition1:base_model1,0.24350494107830067,0.24351260848044282,0.18159411889263277,0.18203998305061705,-0.05867429668275618,0.5415406437913717,1.000530995204871,6789.319085365129,5961.673096283397
b_condition1:base_model2,-1.6043549750760557,-1.6005072192428214,0.1756087943585798,0.17789134599765316,-1.8980997095033314,-1.321867507002566,0.9998762456776031,5549.0465426261835,5617.574795362912
b_condition1:base_model3,0.23945687109299968,0.24024427576724453,0.18342241945653787,0.1792947371598986,-0.06283534825425759,0.5420918878905094,1.000123284249263,6886.5357728887175,5527.155824644224
disc,1,1,0,0,1,1,NA,NA,NA
Intercept[1],-5.220029387642317,-5.211188403718046,0.3120713952593645,0.3122750142308616,-5.7506354149794365,-4.7315730549799495,1.0009433670833887,4236.897640801666,4506.691421085813
Intercept[2],-3.5225116783937462,-3.5184713328211314,0.1668016768133544,0.16448318359456673,-3.800020139255845,-3.2542043162095644,0.9998787224774877,5870.881685780061,6105.631146167224
Intercept[3],3.1242592314355364,3.1205893810466825,0.14839590668530023,0.1467668515715046,2.8881506242555735,3.3725868787715703,1.0004323286868229,7274.854091224418,7060.183055988143
lprior,-20.98983004020918,-20.958321096314442,0.613918069092428,0.5995795388414523,-22.036436552405924,-20.041879913043022,1.0013439510257414,3986.6143998424395,4611.486148593523
lp__,-499.1720114138074,-498.8300151825208,2.22250578405949,2.102291566762317,-503.30737645909375,-496.1663410309715,1.0008289216031432,3325.744798664188,5255.871813689246
