unit,barrier_id,barrier_code,selection_share,selection_rank
DC experts,9,B9,0.1559633027522936,1
DC experts,10,B10,0.12844036697247707,2
DC experts,8,B8,0.11926605504587157,3
DC experts,11,B11,0.11926605504587157,4
DC experts,6,B6,0.10091743119266056,5
DC experts,4,B4,0.09174311926605505,6
DC experts,3,B3,0.07339449541284404,7
DC experts,5,B5,0.07339449541284404,8
DC experts,1,B1,0.06422018348623854,9
DC experts,2,B2,0.03669724770642202,10
DC experts,7,B7,0.03669724770642202,11
Gemma3:12B,1,B1,0.2,1
Gemma3:12B,11,B11,0.16533333333333333,2
Gemma3:12B,8,B8,0.16,3
Gemma3:12B,6,B6,0.13066666666666665,4
Gemma3:12B,5,B5,0.12266666666666666,5
Gemma3:12B,4,B4,0.08933333333333333,6
Gemma3:12B,9,B9,0.08666666666666667,7
Gemma3:12B,10,B10,0.04,8
Gemma3:12B,7,B7,0.005333333333333333,9
Gemma3:12B,2,B2,0,10
Gemma3:12B,3,B3,0,11
LLaMa-Pro,4,B4,0.19466666666666665,1
LLaMa-Pro,1,B1,0.18133333333333335,2
LLaMa-Pro,3,B3,0.17733333333333334,3
LLaMa-Pro,5,B5,0.13866666666666666,4
LLaMa-Pro,2,B2,0.108,5
LLaMa-Pro,6,B6,0.076,6
LLaMa-Pro,7,B7,0.06,7
LLaMa-Pro,8,B8,0.024,8
LLaMa-Pro,11,B11,0.021333333333333333,9
LLaMa-Pro,9,B9,0.016,10
LLaMa-Pro,10,B10,0.0026666666666666666,11
Mistral,1,B1,0.2,1
Mistral,4,B4,0.196,2
Mistral,5,B5,0.18,3
Mistral,2,B2,0.14,4
Mistral,7,B7,0.06266666666666666,5
Mistral,11,B11,0.058666666666666666,6
Mistral,3,B3,0.048,7
Mistral,9,B9,0.04133333333333333,8
Mistral,10,B10,0.03333333333333333,9
Mistral,8,B8,0.02666666666666667,10
Mistral,6,B6,0.013333333333333334,11
Phi-4,1,B1,0.2,1
Phi-4,4,B4,0.19866666666666666,2
Phi-4,10,B10,0.16133333333333333,3
Phi-4,3,B3,0.10933333333333334,4
Phi-4,5,B5,0.108,5
Phi-4,8,B8,0.08533333333333333,6
Phi-4,9,B9,0.05333333333333334,7
Phi-4,2,B2,0.04933333333333333,8
Phi-4,6,B6,0.02666666666666667,9
Phi-4,7,B7,0.004,10
Phi-4,11,B11,0.004,11
Pooled-LLM,1,B1,0.19533333333333333,1
Pooled-LLM,4,B4,0.16966666666666666,2
Pooled-LLM,5,B5,0.13733333333333334,3
Pooled-LLM,3,B3,0.08366666666666667,4
Pooled-LLM,2,B2,0.07433333333333333,5
Pooled-LLM,8,B8,0.074,6
Pooled-LLM,11,B11,0.06233333333333333,7
Pooled-LLM,6,B6,0.06166666666666667,8
Pooled-LLM,10,B10,0.059333333333333335,9
Pooled-LLM,9,B9,0.04933333333333333,10
Pooled-LLM,7,B7,0.033,11
