removed_expert,removed_rating,loo_n_experts,loo_median,loo_proportion_ge_3,median_changed,substantive_conclusion,conclusion_changed
he01_s1,3,21,3.0,1.0,False,True,False
he02_s1,3,21,3.0,1.0,False,True,False
he03_s1,3,21,3.0,1.0,False,True,False
he04_s1,4,21,3.0,1.0,False,True,False
he05_s1,4,21,3.0,1.0,False,True,False
he06_s1,3,21,3.0,1.0,False,True,False
he07_s1,3,21,3.0,1.0,False,True,False
he08_s1,3,21,3.0,1.0,False,True,False
he09_s1,3,21,3.0,1.0,False,True,False
he10_s1,3,21,3.0,1.0,False,True,False
he11_s1,3,21,3.0,1.0,False,True,False
he12_s2,4,21,3.0,1.0,False,True,False
he13_s2,3,21,3.0,1.0,False,True,False
he14_s2,4,21,3.0,1.0,False,True,False
he15_s2,4,21,3.0,1.0,False,True,False
he18_s2,3,21,3.0,1.0,False,True,False
he19_s2,3,21,3.0,1.0,False,True,False
he20_s2,3,21,3.0,1.0,False,True,False
he21_s2,3,21,3.0,1.0,False,True,False
he22_s2,3,21,3.0,1.0,False,True,False
he23_s2,3,21,3.0,1.0,False,True,False
he24_s2,4,21,3.0,1.0,False,True,False
