technology,removed_expert,removed_rating,full_n_experts,full_median,loo_n_experts,loo_median,median_changed
DC connectors,he01,3,23,4.0,22,4.0,False
DC connectors,he02,4,23,4.0,22,4.0,False
DC connectors,he03,4,23,4.0,22,4.0,False
DC connectors,he04,4,23,4.0,22,4.0,False
DC connectors,he05,4,23,4.0,22,4.0,False
DC connectors,he06,3,23,4.0,22,4.0,False
DC connectors,he07,4,23,4.0,22,4.0,False
DC connectors,he08,4,23,4.0,22,4.0,False
DC connectors,he09,4,23,4.0,22,4.0,False
DC connectors,he10,3,23,4.0,22,4.0,False
DC connectors,he11,4,23,4.0,22,4.0,False
DC connectors,he12,4,23,4.0,22,4.0,False
DC connectors,he13,2,23,4.0,22,4.0,False
DC connectors,he14,1,23,4.0,22,4.0,False
DC connectors,he15,4,23,4.0,22,4.0,False
DC connectors,he16,4,23,4.0,22,4.0,False
DC connectors,he17,4,23,4.0,22,4.0,False
DC connectors,he18,3,23,4.0,22,4.0,False
DC connectors,he19,3,23,4.0,22,4.0,False
DC connectors,he20,4,23,4.0,22,4.0,False
DC connectors,he21,4,23,4.0,22,4.0,False
DC connectors,he22,4,23,4.0,22,4.0,False
DC connectors,he23,2,23,4.0,22,4.0,False
DC measurement device,he01,4,11,3.0,10,3.0,False
DC measurement device,he02,3,11,3.0,10,3.0,False
DC measurement device,he03,3,11,3.0,10,3.0,False
DC measurement device,he04,3,11,3.0,10,3.0,False
DC measurement device,he05,3,11,3.0,10,3.0,False
DC measurement device,he06,4,11,3.0,10,3.0,False
DC measurement device,he07,3,11,3.0,10,3.0,False
DC measurement device,he09,3,11,3.0,10,3.0,False
DC measurement device,he10,3,11,3.0,10,3.0,False
DC measurement device,he11,3,11,3.0,10,3.0,False
DC measurement device,he12,4,11,3.0,10,3.0,False
DC solution design tool,he01,4,12,4.0,11,4.0,False
DC solution design tool,he02,3,12,4.0,11,4.0,False
DC solution design tool,he03,4,12,4.0,11,4.0,False
DC solution design tool,he04,4,12,4.0,11,4.0,False
DC solution design tool,he05,4,12,4.0,11,4.0,False
DC solution design tool,he06,4,12,4.0,11,4.0,False
DC solution design tool,he07,4,12,4.0,11,4.0,False
DC solution design tool,he08,4,12,4.0,11,4.0,False
DC solution design tool,he09,4,12,4.0,11,4.0,False
DC solution design tool,he10,3,12,4.0,11,4.0,False
DC solution design tool,he11,3,12,4.0,11,4.0,False
DC solution design tool,he12,3,12,4.0,11,4.0,False
DC-DC converter,he01,4,12,4.0,11,4.0,False
DC-DC converter,he02,3,12,4.0,11,4.0,False
DC-DC converter,he03,4,12,4.0,11,4.0,False
DC-DC converter,he04,4,12,4.0,11,4.0,False
DC-DC converter,he05,4,12,4.0,11,4.0,False
DC-DC converter,he06,4,12,4.0,11,4.0,False
DC-DC converter,he07,4,12,4.0,11,4.0,False
DC-DC converter,he08,4,12,4.0,11,4.0,False
DC-DC converter,he09,4,12,4.0,11,4.0,False
DC-DC converter,he10,3,12,4.0,11,4.0,False
DC-DC converter,he11,4,12,4.0,11,4.0,False
DC-DC converter,he12,4,12,4.0,11,4.0,False
