family,barrier_id,barrier_code,pct_zeroshot,pct_context,delta_pct,rank_zeroshot,rank_context,delta_rank,jaccard
gemma3,1,B1,20,20,0,1,1,0,0.429
gemma3,8,B8,16,19.6,3.6,3,2,-1,0.429
gemma3,4,B4,8.93,14.67,5.73,6,3,-3,0.429
gemma3,10,B10,4,13.6,9.6,8,4,-4,0.429
gemma3,5,B5,12.27,9.6,-2.67,5,5,0,0.429
gemma3,11,B11,16.53,7.07,-9.47,2,6,4,0.429
gemma3,6,B6,13.07,5.33,-7.73,4,7,3,0.429
llama,1,B1,18.13,18.27,0.13,2,1,-1,1
llama,4,B4,19.47,18.13,-1.33,1,2,1,1
llama,3,B3,17.73,16.4,-1.33,3,3,0,1
llama,5,B5,13.87,14.8,0.93,4,4,0,1
llama,2,B2,10.8,14.53,3.73,5,5,0,1
mistral,1,B1,20,20,0,1,1,0,0.667
mistral,4,B4,19.6,20,0.4,2,2,0,0.667
mistral,2,B2,14,19.87,5.87,4,3,-1,0.667
mistral,5,B5,18,19.2,1.2,3,4,1,0.667
mistral,3,B3,4.8,12.13,7.33,7,5,-2,0.667
mistral,7,B7,6.27,2.27,-4,5,8,3,0.667
phi4,1,B1,20,20,0,1,1,0,1
phi4,4,B4,19.87,20,0.13,2,2,0,1
phi4,5,B5,10.8,15.87,5.07,5,3,-2,1
phi4,3,B3,10.93,15.2,4.27,4,4,0,1
phi4,10,B10,16.13,15.2,-0.93,3,5,2,1
